index,County,Precinct,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
0,Crisp,Arabi,785,159,253,42,0,454,29,43,24,0,96,550,
1,Crisp,Coney,859,129,419,93,0,641,11,28,21,0,60,701,
2,Crisp,Cordele,8897,305,1813,498,3,2619,458,1224,687,0,2369,4988,
3,Crisp,Jamestown,1196,206,490,144,0,840,14,46,28,1,89,929,
4,Crisp,Listonia,817,183,302,83,0,568,7,10,9,0,26,594,
