index,County,Precinct,Registered Voters,"Stephen J. """"Steve"""" Ingram (I) (Rep)_Election Day Votes","Stephen J. """"Steve"""" Ingram (I) (Rep)_Advanced Voting Votes","Stephen J. """"Steve"""" Ingram (I) (Rep)_Absentee by Mail Votes","Stephen J. """"Steve"""" Ingram (I) (Rep)_Provisional Votes","Stephen J. """"Steve"""" Ingram (I) (Rep)_Choice Total",Isaac H. Owens (Dem)_Election Day Votes,Isaac H. Owens (Dem)_Advanced Voting Votes,Isaac H. Owens (Dem)_Absentee by Mail Votes,Isaac H. Owens (Dem)_Provisional Votes,Isaac H. Owens (Dem)_Choice Total,Total,
0,Crisp,Arabi,785,172,255,45,0,472,23,40,22,0,85,557,
1,Crisp,Coney,859,132,420,95,0,647,8,31,21,0,60,707,
2,Crisp,Cordele,8897,264,1792,486,3,2545,517,1322,713,0,2552,5097,
3,Crisp,Jamestown,1196,207,497,149,0,853,15,41,23,1,80,933,
4,Crisp,Listonia,817,192,303,84,0,579,5,9,10,0,24,603,
