index,County,Precinct,Registered Voters,Tara Dorough Hayslip (I) (Rep)_Election Day Votes,Tara Dorough Hayslip (I) (Rep)_Advanced Voting Votes,Tara Dorough Hayslip (I) (Rep)_Absentee by Mail Votes,Tara Dorough Hayslip (I) (Rep)_Provisional Votes,Tara Dorough Hayslip (I) (Rep)_Choice Total,Total,
0,Crisp,Arabi,785,178,274,54,0,506,506,
1,Crisp,Coney,859,137,435,112,0,684,684,
2,Crisp,Cordele,8897,587,2545,862,3,3997,3997,
3,Crisp,Jamestown,1196,221,518,156,1,896,896,
4,Crisp,Listonia,817,191,304,87,0,582,582,
