index,County,Precinct,Registered Voters,Kay Kirkpatrick (I) (Rep)_Election Day Votes,Kay Kirkpatrick (I) (Rep)_Advanced Voting Votes,Kay Kirkpatrick (I) (Rep)_Absentee by Mail Votes,Kay Kirkpatrick (I) (Rep)_Provisional Votes,Kay Kirkpatrick (I) (Rep)_Choice Total,Christine Triebsch (Dem)_Election Day Votes,Christine Triebsch (Dem)_Advanced Voting Votes,Christine Triebsch (Dem)_Absentee by Mail Votes,Christine Triebsch (Dem)_Provisional Votes,Christine Triebsch (Dem)_Choice Total,Total,
0,Cobb,Addison 01,2444,245,376,385,0,1006,125,320,466,2,913,1919,
1,Cobb,Bells Ferry 02,3127,319,518,357,1,1195,161,412,481,0,1054,2249,
2,Cobb,Bells Ferry 03,2436,279,331,200,0,810,187,306,341,0,834,1644,
3,Cobb,Blackwell 01,2698,229,450,295,1,975,173,360,504,1,1038,2013,
4,Cobb,Chestnut Ridge 01,3162,337,631,643,0,1611,116,347,583,0,1046,2657,
5,Cobb,Dickerson 01,2828,281,588,514,2,1385,77,325,568,1,971,2356,
6,Cobb,Dodgen 01,2100,268,396,397,2,1063,78,242,363,1,684,1747,
7,Cobb,Davis 01,2093,332,354,262,0,948,129,273,334,0,736,1684,
8,Cobb,Eastside 01,3040,348,579,598,1,1526,86,311,596,1,994,2520,
9,Cobb,Eastside 02,4074,230,447,548,0,1225,74,270,499,0,843,2068,
10,Cobb,Elizabeth 03,2767,317,462,532,2,1313,116,363,433,0,912,2225,
11,Cobb,Elizabeth 04,3011,165,209,169,0,543,124,307,372,0,803,1346,
12,Cobb,Elizabeth 05,2884,347,473,400,0,1220,137,358,538,1,1034,2254,
13,Cobb,Fullers Park 01,3452,365,663,618,0,1646,131,382,642,0,1155,2801,
14,Cobb,Garrison Mill 01,2872,341,587,390,1,1319,132,371,488,0,991,2310,
15,Cobb,Gritters 01,4033,439,695,522,1,1657,244,454,587,1,1286,2943,
16,Cobb,Hightower 01,4262,402,773,889,0,2064,108,462,870,0,1440,3504,
17,Cobb,Kell 01,2006,314,340,261,0,915,126,199,311,1,637,1552,
18,Cobb,Lassiter 01,3647,458,748,589,0,1795,112,452,599,2,1165,2960,
19,Cobb,Mabry 01,1656,249,376,291,3,919,53,182,226,2,463,1382,
20,Cobb,Murdock 01,4059,451,707,773,0,1931,146,467,771,0,1384,3315,
21,Cobb,McCleskey 01,1736,248,353,250,0,851,78,192,301,1,572,1423,
22,Cobb,Marietta 6A,2647,47,80,46,0,173,159,328,210,1,698,871,
23,Cobb,Mt Bethel 01,4125,423,805,829,4,2061,101,413,839,2,1355,3416,
24,Cobb,Mt Bethel 03,3294,224,700,550,0,1474,82,425,649,0,1156,2630,
25,Cobb,Mt Bethel 04,2981,279,601,612,0,1492,68,285,567,0,920,2412,
26,Cobb,Nicholson 01,2455,303,409,311,1,1024,123,306,365,0,794,1818,
27,Cobb,Post Oak 01,3660,394,829,614,4,1841,114,421,563,0,1098,2939,
28,Cobb,Pope 01,3153,275,672,527,0,1474,110,377,572,0,1059,2533,
29,Cobb,Palmer 01,2760,169,265,196,0,630,93,146,166,0,405,1035,
30,Cobb,Rocky Mount 01,3390,485,651,447,1,1584,134,372,562,1,1069,2653,
31,Cobb,Roswell 01,5374,519,1078,1051,1,2649,153,571,1151,0,1875,4524,
32,Cobb,Roswell 02,3701,402,689,710,3,1804,128,378,763,0,1269,3073,
33,Cobb,Sandy Plains 01,2933,316,477,404,0,1197,151,417,549,1,1118,2315,
34,Cobb,Shallowford Falls 01,3387,419,663,581,0,1663,116,383,642,0,1141,2804,
35,Cobb,Simpson 01,1868,182,387,259,1,829,68,283,306,0,657,1486,
36,Cobb,Sewell Mill 01,3493,367,602,552,0,1521,140,466,688,0,1294,2815,
37,Cobb,Sope Creek 01,2163,288,389,423,0,1100,90,223,407,0,720,1820,
38,Cobb,Sope Creek 02,4729,384,805,746,3,1938,180,677,817,0,1674,3612,
39,Cobb,Sope Creek 03,2886,345,540,474,0,1359,106,352,450,0,908,2267,
40,Cobb,Terrell Mill 01,5816,194,327,340,0,861,159,462,488,1,1110,1971,
41,Cobb,Timber Ridge 01,2448,281,476,427,0,1184,68,275,516,1,860,2044,
42,Cobb,Willeo 01,2836,364,552,514,1,1431,110,306,516,0,932,2363,
