index,County,Precinct,Registered Voters,Matt Dollar (I) (Rep)_Election Day Votes,Matt Dollar (I) (Rep)_Advanced Voting Votes,Matt Dollar (I) (Rep)_Absentee by Mail Votes,Matt Dollar (I) (Rep)_Provisional Votes,Matt Dollar (I) (Rep)_Choice Total,Sara Tindall Ghazal (Dem)_Election Day Votes,Sara Tindall Ghazal (Dem)_Advanced Voting Votes,Sara Tindall Ghazal (Dem)_Absentee by Mail Votes,Sara Tindall Ghazal (Dem)_Provisional Votes,Sara Tindall Ghazal (Dem)_Choice Total,Total,
0,Cobb,Chestnut Ridge 01,3162,340,635,630,0,1605,111,346,595,0,1052,2657,
1,Cobb,Dickerson 01,2828,274,567,484,2,1327,81,346,591,0,1018,2345,
2,Cobb,Dodgen 01,2100,256,379,380,1,1016,94,258,373,1,726,1742,
3,Cobb,Hightower 01,4262,410,761,873,0,2044,100,481,877,0,1458,3502,
4,Cobb,Murdock 01,4059,449,696,748,0,1893,153,480,800,0,1433,3326,
5,Cobb,Mt Bethel 01,4125,415,779,781,4,1979,108,438,871,2,1419,3398,
6,Cobb,Mt Bethel 03,3294,230,707,530,0,1467,79,420,658,0,1157,2624,
7,Cobb,Pope 01,3153,98,248,189,0,535,33,131,222,0,386,921,
8,Cobb,Roswell 01,5374,516,1069,1006,0,2591,162,578,1184,0,1924,4515,
9,Cobb,Roswell 02,3701,403,679,672,2,1756,132,388,787,0,1307,3063,
10,Cobb,Sewell Mill 01,3493,231,359,327,0,917,91,276,409,0,776,1693,
11,Cobb,Timber Ridge 01,2448,269,469,404,0,1142,81,285,535,1,902,2044,
