index,County,Precinct,Registered Voters,Teri Anulewicz (I) (Dem)_Election Day Votes,Teri Anulewicz (I) (Dem)_Advanced Voting Votes,Teri Anulewicz (I) (Dem)_Absentee by Mail Votes,Teri Anulewicz (I) (Dem)_Provisional Votes,Teri Anulewicz (I) (Dem)_Choice Total,Total,
0,Cobb,Dobbins 01,3024,297,491,407,5,1200,1200,
1,Cobb,Dobbins 02,3984,482,1021,613,4,2120,2120,
2,Cobb,Marietta 1A,4468,338,692,496,5,1531,1531,
3,Cobb,Marietta 5A,3324,163,353,224,2,742,742,
4,Cobb,Marietta 6A,2647,188,362,220,0,770,770,
5,Cobb,Marietta 7A,3745,329,801,463,2,1595,1595,
6,Cobb,Oregon 03,5713,58,53,35,2,148,148,
7,Cobb,Powers Ferry 01,3504,15,29,32,0,76,76,
8,Cobb,Sewell Mill 03,4759,123,223,174,1,521,521,
9,Cobb,Smyrna 1A,4152,412,721,511,3,1647,1647,
10,Cobb,Smyrna 2A,5539,461,1253,876,1,2591,2591,
11,Cobb,Smyrna 3A,4573,364,1247,1006,3,2620,2620,
12,Cobb,Smyrna 3B,2496,36,75,64,2,177,177,
13,Cobb,Smyrna 5A,4319,144,205,201,2,552,552,
14,Cobb,Terrell Mill 01,5816,271,442,228,6,947,947,
