index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Cobb,Acworth 1A,5458,370,1381,1106,2,2859,106,498,329,1,934,3793,
1,Cobb,Acworth 1B,5214,523,1255,879,3,2660,150,400,290,2,842,3502,
2,Cobb,Acworth 1C,5110,381,1333,793,4,2511,102,414,275,4,795,3306,
3,Cobb,Addison 01,2444,274,509,668,1,1452,89,165,170,1,425,1877,
4,Cobb,Austell 1A,5329,410,1155,831,10,2406,122,348,285,3,758,3164,
5,Cobb,Bells Ferry 02,3127,350,711,607,0,1668,113,196,194,2,505,2173,
6,Cobb,Bells Ferry 03,2436,353,462,407,3,1225,108,153,115,0,376,1601,
7,Cobb,Bells Ferry 04,3646,486,817,682,5,1990,173,233,180,0,586,2576,
8,Cobb,Big Shanty 01,2385,291,493,418,3,1205,77,148,121,2,348,1553,
9,Cobb,Big Shanty 02,3236,375,761,701,3,1840,108,260,179,0,547,2387,
10,Cobb,Baker 01,4773,520,1294,722,7,2543,132,343,199,1,675,3218,
11,Cobb,Birney 01,2727,274,542,483,9,1308,78,150,178,2,408,1716,
12,Cobb,Birney 02,3894,280,958,882,4,2124,92,286,290,1,669,2793,
13,Cobb,Bryant 01,2142,170,573,344,2,1089,42,152,137,1,332,1421,
14,Cobb,Bryant 02,6209,468,1234,615,4,2321,118,325,204,2,649,2970,
15,Cobb,Blackwell 01,2698,307,589,605,1,1502,97,202,173,2,474,1976,
16,Cobb,Chattahoochee 01,5969,537,1532,978,7,3054,147,358,205,1,711,3765,
17,Cobb,Cheatham Hill 02,3085,320,799,714,1,1834,105,253,201,0,559,2393,
18,Cobb,Cheatham Hill 03,4029,341,1125,984,0,2450,117,388,218,1,724,3174,
19,Cobb,Chalker 01,6065,635,1356,880,2,2873,165,376,287,1,829,3702,
20,Cobb,Clarkdale 01,1937,178,398,343,2,921,55,121,87,1,264,1185,
21,Cobb,Clarkdale 02,5372,517,1259,823,4,2603,177,427,271,2,877,3480,
22,Cobb,Cooper 01,5252,418,1172,806,1,2397,117,339,309,1,766,3163,
23,Cobb,Chestnut Ridge 01,3162,332,701,940,0,1973,102,251,227,0,580,2553,
24,Cobb,Dickerson 01,2828,272,664,827,4,1767,78,219,206,0,503,2270,
25,Cobb,Dobbins 01,3024,263,425,333,7,1028,86,124,116,5,331,1359,
26,Cobb,Dobbins 02,3984,412,889,525,6,1832,133,250,135,1,519,2351,
27,Cobb,Dowell 01,3197,335,833,704,3,1875,87,262,182,1,532,2407,
28,Cobb,Dodgen 01,2100,270,457,593,3,1323,69,162,143,0,374,1697,
29,Cobb,Durham 01,4256,374,1298,792,2,2466,102,499,267,0,868,3334,
30,Cobb,Davis 01,2093,351,469,474,1,1295,92,148,107,0,347,1642,
31,Cobb,Eastside 01,3040,316,624,910,2,1852,106,242,230,2,580,2432,
32,Cobb,Eastside 02,4074,327,897,1267,1,2492,103,257,324,2,686,3178,
33,Cobb,Elizabeth 01,4065,439,872,548,3,1862,105,257,157,1,520,2382,
34,Cobb,Elizabeth 02,2434,280,513,576,3,1372,94,156,162,0,412,1784,
35,Cobb,Elizabeth 03,2767,324,601,733,2,1660,104,194,198,0,496,2156,
36,Cobb,Elizabeth 04,3011,391,554,601,1,1547,127,163,133,0,423,1970,
37,Cobb,Elizabeth 05,2884,364,613,706,1,1684,115,187,191,0,493,2177,
