index,County,Precinct,Registered Voters,Mike Boyce (I) (Rep)_Election Day Votes,Mike Boyce (I) (Rep)_Advanced Voting Votes,Mike Boyce (I) (Rep)_Absentee by Mail Votes,Mike Boyce (I) (Rep)_Provisional Votes,Mike Boyce (I) (Rep)_Choice Total,Lisa Cupid (Dem)_Election Day Votes,Lisa Cupid (Dem)_Advanced Voting Votes,Lisa Cupid (Dem)_Absentee by Mail Votes,Lisa Cupid (Dem)_Provisional Votes,Lisa Cupid (Dem)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,275,1095,618,1,1989,211,826,864,2,1903,3892,
1,Cobb,Acworth 1B,5214,416,1007,586,2,2011,267,677,615,3,1562,3573,
2,Cobb,Acworth 1C,5110,212,712,315,2,1241,284,1066,789,7,2146,3387,
3,Cobb,Addison 01,2444,246,377,385,0,1008,127,321,460,2,910,1918,
4,Cobb,Austell 1A,5329,158,265,184,2,609,374,1300,957,11,2642,3251,
5,Cobb,Bells Ferry 02,3127,327,527,359,1,1214,152,400,463,1,1016,2230,
6,Cobb,Bells Ferry 03,2436,287,338,201,2,828,177,298,334,1,810,1638,
7,Cobb,Bells Ferry 04,3646,481,634,408,2,1525,185,453,475,3,1116,2641,
8,Cobb,Big Shanty 01,2385,232,380,279,5,896,134,281,254,1,670,1566,
9,Cobb,Big Shanty 02,3236,311,597,405,3,1316,175,435,490,1,1101,2417,
10,Cobb,Baker 01,4773,366,713,311,4,1394,284,945,627,5,1861,3255,
11,Cobb,Birney 01,2727,131,241,261,4,637,214,473,428,8,1123,1760,
12,Cobb,Birney 02,3894,185,426,386,0,997,197,855,822,4,1878,2875,
13,Cobb,Bryant 01,2142,28,41,29,1,99,187,711,469,2,1369,1468,
14,Cobb,Bryant 02,6209,63,111,60,0,234,524,1472,794,6,2796,3030,
15,Cobb,Blackwell 01,2698,226,457,304,3,990,178,346,484,0,1008,1998,
16,Cobb,Chattahoochee 01,5969,279,548,280,4,1111,403,1357,924,3,2687,3798,
17,Cobb,Cheatham Hill 02,3085,318,719,483,0,1520,117,372,442,1,932,2452,
18,Cobb,Cheatham Hill 03,4029,322,827,583,1,1733,145,712,643,0,1500,3233,
19,Cobb,Chalker 01,6065,329,649,453,1,1432,474,1108,747,2,2331,3763,
20,Cobb,Clarkdale 01,1937,118,200,155,1,474,120,335,301,2,758,1232,
21,Cobb,Clarkdale 02,5372,268,477,282,1,1028,442,1260,842,5,2549,3577,
22,Cobb,Cooper 01,5252,129,303,235,1,668,414,1242,924,3,2583,3251,
23,Cobb,Chestnut Ridge 01,3162,346,640,663,0,1649,106,336,545,0,987,2636,
24,Cobb,Dickerson 01,2828,275,592,533,3,1403,77,312,524,1,914,2317,
25,Cobb,Dobbins 01,3024,112,139,120,4,375,247,417,336,7,1007,1382,
26,Cobb,Dobbins 02,3984,202,321,153,2,678,349,834,512,5,1700,2378,
27,Cobb,Dowell 01,3197,274,560,355,0,1189,157,570,548,4,1279,2468,
28,Cobb,Dodgen 01,2100,265,401,392,2,1060,79,235,359,1,674,1734,
29,Cobb,Durham 01,4256,403,1379,613,1,2396,83,465,464,1,1013,3409,
30,Cobb,Davis 01,2093,326,353,248,0,927,132,272,337,0,741,1668,
31,Cobb,Eastside 01,3040,345,597,606,3,1551,85,294,554,1,934,2485,
32,Cobb,Eastside 02,4074,333,761,905,2,2001,115,430,752,1,1298,3299,
33,Cobb,Elizabeth 01,4065,244,346,189,1,780,300,789,533,4,1626,2406,
34,Cobb,Elizabeth 02,2434,249,387,424,2,1062,125,300,355,2,782,1844,
35,Cobb,Elizabeth 03,2767,316,463,538,1,1318,114,352,429,1,896,2214,
36,Cobb,Elizabeth 04,3011,265,277,251,1,794,248,457,500,0,1205,1999,
37,Cobb,Elizabeth 05,2884,339,484,407,0,1230,140,336,508,1,985,2215,
38,Cobb,East Piedmont 01,2627,262,317,255,1,835,197,398,405,0,1000,1835,
39,Cobb,Fair Oaks 02,5779,244,399,319,4,966,492,1061,924,5,2482,3448,
40,Cobb,Fair Oaks 04,5322,267,305,274,0,846,513,640,624,9,1786,2632,
41,Cobb,Fullers Park 01,3452,359,659,627,0,1645,136,386,607,0,1129,2774,
42,Cobb,Ford 01,3161,326,985,449,1,1761,74,340,336,0,750,2511,
43,Cobb,Frey 01,2582,179,829,322,0,1330,63,311,281,1,656,1986,
44,Cobb,Garrison Mill 01,2872,340,593,379,1,1313,129,364,478,0,971,2284,
45,Cobb,Gritters 01,4033,446,696,515,1,1658,230,451,591,1,1273,2931,
46,Cobb,Harmony-Leland 01,6394,125,369,233,0,727,355,1933,1445,5,3738,4465,
47,Cobb,Harrison 01,3122,341,883,488,0,1712,101,328,324,0,753,2465,
48,Cobb,Hightower 01,4262,407,775,915,0,2097,100,463,815,0,1378,3475,
49,Cobb,Hayes 01,4111,373,1073,651,1,2098,121,462,504,1,1088,3186,
50,Cobb,Kennesaw 1A,2499,225,365,200,9,799,189,398,236,7,830,1629,
51,Cobb,Kennesaw 2A,3944,308,705,377,3,1393,207,580,487,2,1276,2669,
52,Cobb,Kennesaw 3A,6477,313,887,461,3,1664,377,1211,932,3,2523,4187,
53,Cobb,Kennesaw 4A,3783,243,666,416,2,1327,188,579,545,1,1313,2640,
54,Cobb,Kennesaw 5A,5855,540,1064,475,0,2079,319,1091,859,1,2270,4349,
55,Cobb,Kell 01,2006,303,328,261,0,892,133,206,301,2,642,1534,
56,Cobb,Kemp 01,1960,246,508,339,0,1093,69,187,215,0,471,1564,
57,Cobb,Kemp 02,4049,384,846,620,4,1854,153,580,557,2,1292,3146,
58,Cobb,Kemp 03,3955,516,1161,584,2,2263,101,411,406,0,918,3181,
59,Cobb,Lassiter 01,3647,458,757,597,0,1812,116,428,584,2,1130,2942,
60,Cobb,Lindley 01,4797,181,390,300,0,871,283,1402,1139,0,2824,3695,
61,Cobb,Lost Mountain 01,3604,202,1060,547,1,1810,96,556,495,0,1147,2957,
62,Cobb,Lost Mountain 02,4121,358,1414,649,0,2421,103,532,424,0,1059,3480,
63,Cobb,Lost Mountain 03,5387,287,1708,738,1,2734,124,795,640,1,1560,4294,
64,Cobb,Lost Mountain 04,2629,259,739,373,1,1372,61,346,314,0,721,2093,
65,Cobb,Mableton 01,5127,140,480,403,3,1026,280,1170,1031,0,2481,3507,
66,Cobb,Mableton 02,3330,136,220,185,0,541,253,608,531,0,1392,1933,
