index,County,Precinct,Registered Voters,Ed Setzler (I) (Rep)_Election Day Votes,Ed Setzler (I) (Rep)_Advanced Voting Votes,Ed Setzler (I) (Rep)_Absentee by Mail Votes,Ed Setzler (I) (Rep)_Provisional Votes,Ed Setzler (I) (Rep)_Choice Total,Kyle Rinaudo (Dem)_Election Day Votes,Kyle Rinaudo (Dem)_Advanced Voting Votes,Kyle Rinaudo (Dem)_Absentee by Mail Votes,Kyle Rinaudo (Dem)_Provisional Votes,Kyle Rinaudo (Dem)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,279,1095,620,1,1995,211,844,879,2,1936,3931,
1,Cobb,Acworth 1B,5214,413,990,564,1,1968,278,707,644,3,1632,3600,
2,Cobb,Acworth 1C,5110,206,703,311,0,1220,300,1097,800,3,2200,3420,
3,Cobb,Big Shanty 01,2385,36,73,58,1,168,8,8,30,0,46,214,
4,Cobb,Baker 01,4773,348,697,318,2,1365,308,983,637,5,1933,3298,
5,Cobb,Durham 01,4256,244,766,324,0,1334,60,342,306,0,708,2042,
6,Cobb,Kennesaw 1A,2499,32,35,11,0,78,35,63,28,0,126,204,
7,Cobb,Kennesaw 3A,6477,32,62,24,0,118,40,82,61,0,183,301,
8,Cobb,Kennesaw 4A,3783,60,210,106,0,376,36,172,179,0,387,763,
9,Cobb,Kennesaw 5A,5855,531,1053,473,0,2057,343,1136,903,1,2383,4440,
10,Cobb,Mars Hill 01,3633,440,1110,479,2,2031,98,297,319,0,714,2745,
11,Cobb,North Cobb 01,2317,216,390,209,0,815,120,403,324,0,847,1662,
12,Cobb,Wade Green 02,4718,428,760,476,0,1664,256,804,754,0,1814,3478,
