index,County,Precinct,Registered Voters,Rebecca Keaton (I) (Rep)_Election Day Votes,Rebecca Keaton (I) (Rep)_Advanced Voting Votes,Rebecca Keaton (I) (Rep)_Absentee by Mail Votes,Rebecca Keaton (I) (Rep)_Provisional Votes,Rebecca Keaton (I) (Rep)_Choice Total,Connie Taylor (Dem)_Election Day Votes,Connie Taylor (Dem)_Advanced Voting Votes,Connie Taylor (Dem)_Absentee by Mail Votes,Connie Taylor (Dem)_Provisional Votes,Connie Taylor (Dem)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,281,1096,648,0,2025,207,835,837,3,1882,3907,
1,Cobb,Acworth 1B,5214,422,1006,597,2,2027,266,685,599,4,1554,3581,
2,Cobb,Acworth 1C,5110,216,709,338,1,1264,279,1079,769,9,2136,3400,
3,Cobb,Addison 01,2444,241,383,401,0,1025,130,317,443,1,891,1916,
4,Cobb,Austell 1A,5329,171,275,203,3,652,362,1286,944,10,2602,3254,
5,Cobb,Bells Ferry 02,3127,323,530,361,1,1215,159,397,465,1,1022,2237,
6,Cobb,Bells Ferry 03,2436,288,332,207,2,829,183,303,331,1,818,1647,
7,Cobb,Bells Ferry 04,3646,479,642,431,3,1555,188,448,443,2,1081,2636,
8,Cobb,Big Shanty 01,2385,228,377,292,5,902,138,286,248,1,673,1575,
9,Cobb,Big Shanty 02,3236,309,599,407,3,1318,183,437,486,1,1107,2425,
10,Cobb,Baker 01,4773,369,721,327,3,1420,285,958,612,6,1861,3281,
11,Cobb,Birney 01,2727,134,247,286,6,673,222,463,410,5,1100,1773,
12,Cobb,Birney 02,3894,194,433,424,0,1051,188,851,775,3,1817,2868,
13,Cobb,Bryant 01,2142,29,46,32,1,108,185,702,464,2,1353,1461,
14,Cobb,Bryant 02,6209,74,127,75,0,276,517,1468,774,6,2765,3041,
15,Cobb,Blackwell 01,2698,228,461,316,3,1008,173,351,476,0,1000,2008,
16,Cobb,Chattahoochee 01,5969,278,565,322,3,1168,408,1351,882,4,2645,3813,
17,Cobb,Cheatham Hill 02,3085,329,724,513,0,1566,105,374,409,1,889,2455,
18,Cobb,Cheatham Hill 03,4029,345,858,608,1,1812,126,691,616,0,1433,3245,
19,Cobb,Chalker 01,6065,338,655,462,1,1456,472,1122,732,2,2328,3784,
20,Cobb,Clarkdale 01,1937,118,213,160,1,492,122,324,299,2,747,1239,
21,Cobb,Clarkdale 02,5372,268,492,300,0,1060,442,1247,825,5,2519,3579,
22,Cobb,Cooper 01,5252,141,329,271,0,741,409,1230,888,4,2531,3272,
23,Cobb,Chestnut Ridge 01,3162,345,642,669,0,1656,105,331,528,0,964,2620,
24,Cobb,Dickerson 01,2828,284,583,531,3,1401,70,325,525,1,921,2322,
25,Cobb,Dobbins 01,3024,114,145,123,5,387,242,412,335,7,996,1383,
26,Cobb,Dobbins 02,3984,205,332,182,2,721,351,829,484,5,1669,2390,
27,Cobb,Dowell 01,3197,265,581,377,0,1223,162,551,526,4,1243,2466,
28,Cobb,Dodgen 01,2100,271,399,407,2,1079,76,237,341,1,655,1734,
29,Cobb,Durham 01,4256,405,1410,643,1,2459,88,460,435,1,984,3443,
30,Cobb,Davis 01,2093,327,363,254,0,944,133,263,328,0,724,1668,
31,Cobb,Eastside 01,3040,345,581,627,3,1556,89,306,528,1,924,2480,
32,Cobb,Eastside 02,4074,331,765,889,1,1986,119,437,745,2,1303,3289,
33,Cobb,Elizabeth 01,4065,233,344,196,1,774,316,804,529,4,1653,2427,
34,Cobb,Elizabeth 02,2434,258,397,428,3,1086,121,301,345,1,768,1854,
35,Cobb,Elizabeth 03,2767,320,464,552,1,1337,114,353,409,1,877,2214,
36,Cobb,Elizabeth 04,3011,270,298,267,1,836,257,443,480,0,1180,2016,
37,Cobb,Elizabeth 05,2884,350,486,424,0,1260,131,340,495,1,967,2227,
38,Cobb,East Piedmont 01,2627,267,318,258,1,844,193,404,394,0,991,1835,
39,Cobb,Fair Oaks 02,5779,246,419,337,4,1006,495,1046,905,4,2450,3456,
40,Cobb,Fair Oaks 04,5322,275,302,288,1,866,511,650,601,8,1770,2636,
41,Cobb,Fullers Park 01,3452,370,665,616,0,1651,123,381,613,0,1117,2768,
42,Cobb,Ford 01,3161,330,1002,458,1,1791,70,329,332,0,731,2522,
43,Cobb,Frey 01,2582,182,839,341,0,1362,61,306,266,1,634,1996,
44,Cobb,Garrison Mill 01,2872,350,590,419,1,1360,120,368,446,0,934,2294,
45,Cobb,Gritters 01,4033,446,695,540,1,1682,239,461,564,1,1265,2947,
46,Cobb,Harmony-Leland 01,6394,131,377,269,0,777,350,1923,1407,4,3684,4461,
47,Cobb,Harrison 01,3122,350,904,514,0,1768,95,314,304,0,713,2481,
48,Cobb,Hightower 01,4262,415,788,947,0,2150,92,444,778,0,1314,3464,
49,Cobb,Hayes 01,4111,382,1097,666,0,2145,115,443,493,2,1053,3198,
50,Cobb,Kennesaw 1A,2499,223,370,204,9,806,189,399,228,7,823,1629,
51,Cobb,Kennesaw 2A,3944,323,721,389,4,1437,201,569,475,1,1246,2683,
52,Cobb,Kennesaw 3A,6477,314,898,479,3,1694,378,1216,923,3,2520,4214,
53,Cobb,Kennesaw 4A,3783,247,683,443,2,1375,187,573,513,1,1274,2649,
54,Cobb,Kennesaw 5A,5855,547,1081,508,0,2136,320,1090,835,1,2246,4382,
