index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
60,Cobb,Lindley 01,4797,176,376,281,0,833,268,1389,1127,0,2784,25,30,38,0,93,3710,
61,Cobb,Lost Mountain 01,3604,184,1028,519,1,1732,81,531,494,0,1106,33,51,32,0,116,2954,
62,Cobb,Lost Mountain 02,4121,345,1388,613,0,2346,97,520,431,0,1048,24,43,32,0,99,3493,
63,Cobb,Lost Mountain 03,5387,278,1663,725,1,2667,110,761,614,1,1486,28,90,43,0,161,4314,
64,Cobb,Lost Mountain 04,2629,241,719,332,1,1293,52,337,324,0,713,28,35,23,0,86,2092,
65,Cobb,Mableton 01,5127,129,456,394,4,983,270,1117,992,0,2379,16,64,48,0,128,3490,
66,Cobb,Mableton 02,3330,126,199,171,0,496,236,596,526,0,1358,16,25,19,0,60,1914,
67,Cobb,Mableton 03,3010,171,381,316,1,869,172,514,475,2,1163,26,29,32,0,87,2119,
68,Cobb,Mableton 04,1581,136,219,216,0,571,62,271,299,0,632,9,22,10,0,41,1244,
69,Cobb,Mabry 01,1656,236,367,263,3,869,51,172,235,1,459,13,16,17,1,47,1375,
70,Cobb,Macland 01,4213,135,390,194,0,719,255,1047,789,2,2093,30,42,30,0,102,2914,
71,Cobb,Murdock 01,4059,430,669,721,0,1820,130,453,736,0,1319,36,49,65,0,150,3289,
72,Cobb,McEachern 01,3549,149,524,357,1,1031,127,783,645,0,1555,18,33,11,0,62,2648,
73,Cobb,McCleskey 01,1736,235,347,230,0,812,68,184,296,1,549,23,12,16,0,51,1412,
74,Cobb,McClure 01,3290,368,845,386,2,1601,103,369,393,1,866,31,36,32,0,99,2566,
75,Cobb,Marietta 1A,4468,178,317,208,1,704,304,672,515,6,1497,52,42,35,0,129,2330,
76,Cobb,Marietta 2A,2059,271,362,355,0,988,95,268,274,0,637,31,32,23,0,86,1711,
77,Cobb,Marietta 2B,4447,247,508,429,2,1186,306,807,628,0,1741,39,57,34,1,131,3058,
78,Cobb,Marietta 3A,4388,305,647,538,1,1491,180,662,675,2,1519,51,54,45,0,150,3160,
79,Cobb,Marietta 3B,2218,50,103,83,0,236,167,478,417,1,1063,11,15,15,0,41,1340,
80,Cobb,Marietta 4A,1956,417,377,378,0,1172,64,153,215,1,433,16,17,16,0,49,1654,
81,Cobb,Marietta 4B,2056,186,284,250,0,720,94,303,316,1,714,22,23,27,0,72,1506,
82,Cobb,Marietta 4C,2781,285,681,392,0,1358,78,319,411,0,808,22,23,31,0,76,2242,
83,Cobb,Marietta 5A,3324,150,248,189,0,587,258,551,531,6,1346,39,24,22,0,85,2018,
84,Cobb,Marietta 5B,3084,122,138,100,0,360,261,525,408,3,1197,26,23,16,0,65,1622,
85,Cobb,Marietta 6A,2647,99,166,94,2,361,245,499,353,3,1100,25,30,12,0,67,1528,
86,Cobb,Marietta 6B,2910,236,436,338,0,1010,130,462,554,0,1146,31,29,31,0,91,2247,
87,Cobb,Marietta 7A,3745,97,141,90,0,328,255,734,403,4,1396,26,29,21,0,76,1800,
88,Cobb,Mars Hill 01,3633,417,1091,468,2,1978,92,266,298,0,656,21,36,22,0,79,2713,
89,Cobb,Mars Hill 02,2916,281,569,246,0,1096,110,384,369,0,863,38,47,24,0,109,2068,
90,Cobb,Mt Bethel 01,4125,395,779,765,3,1942,87,404,814,2,1307,39,28,59,1,127,3376,
