index,County,Precinct,Registered Voters,Jim Hickey (Rep)_Election Day Votes,Jim Hickey (Rep)_Advanced Voting Votes,Jim Hickey (Rep)_Absentee by Mail Votes,Jim Hickey (Rep)_Provisional Votes,Jim Hickey (Rep)_Choice Total,Erica Thomas (I) (Dem)_Election Day Votes,Erica Thomas (I) (Dem)_Advanced Voting Votes,Erica Thomas (I) (Dem)_Absentee by Mail Votes,Erica Thomas (I) (Dem)_Provisional Votes,Erica Thomas (I) (Dem)_Choice Total,Total,
0,Cobb,Austell 1A,5329,157,263,169,0,589,381,1301,971,6,2659,3248,
1,Cobb,Bryant 01,2142,20,38,25,0,83,196,714,471,3,1384,1467,
2,Cobb,Bryant 02,6209,55,98,53,0,206,542,1500,787,3,2832,3038,
3,Cobb,Clarkdale 01,1937,33,60,34,0,127,58,140,138,0,336,463,
4,Cobb,Clarkdale 02,5372,63,94,71,0,228,97,212,150,1,460,688,
5,Cobb,Harmony-Leland 01,6394,115,363,233,0,711,366,1948,1444,4,3762,4473,
6,Cobb,Lindley 01,4797,175,391,312,0,878,295,1401,1131,1,2828,3706,
7,Cobb,Mableton 01,5127,44,99,85,1,229,71,242,217,0,530,759,
8,Cobb,Mableton 02,3330,131,218,182,0,531,258,613,536,0,1407,1938,
9,Cobb,Pebblebrook 01,5218,108,271,214,0,593,445,1314,913,2,2674,3267,
10,Cobb,Riverside 01,2133,41,42,28,0,111,215,483,306,1,1005,1116,
11,Cobb,Smyrna 7A,6378,19,67,39,0,125,39,427,269,0,735,860,
