index,County,Precinct,Registered Voters,Taryn Chilivis Bowman (Rep)_Election Day Votes,Taryn Chilivis Bowman (Rep)_Advanced Voting Votes,Taryn Chilivis Bowman (Rep)_Absentee by Mail Votes,Taryn Chilivis Bowman (Rep)_Provisional Votes,Taryn Chilivis Bowman (Rep)_Choice Total,Erick Eugene Allen (I) (Dem)_Election Day Votes,Erick Eugene Allen (I) (Dem)_Advanced Voting Votes,Erick Eugene Allen (I) (Dem)_Absentee by Mail Votes,Erick Eugene Allen (I) (Dem)_Provisional Votes,Erick Eugene Allen (I) (Dem)_Choice Total,Total,
0,Cobb,Mableton 03,3010,189,388,315,0,892,180,543,498,2,1223,2115,
1,Cobb,Mableton 04,1581,137,218,211,0,566,72,299,319,0,690,1256,
2,Cobb,Nickajack 01,4889,0,0,0,0,0,0,3,3,0,6,6,
3,Cobb,Norton Park 01,4922,93,246,236,0,575,114,272,298,0,684,1259,
4,Cobb,Oakdale 01,3944,247,470,410,0,1127,127,605,733,0,1465,2592,
5,Cobb,Smyrna 1A,4152,59,103,101,0,263,53,162,180,0,395,658,
6,Cobb,Smyrna 2A,5539,37,126,99,0,262,40,217,219,0,476,738,
7,Cobb,Smyrna 3B,2496,145,335,220,0,700,105,403,417,0,925,1625,
8,Cobb,Smyrna 4A,5842,331,839,796,1,1967,240,1058,1375,0,2673,4640,
9,Cobb,Smyrna 6A,5936,341,810,694,1,1846,292,1159,1218,2,2671,4517,
10,Cobb,Smyrna 7A,6378,147,494,382,0,1023,96,779,839,0,1714,2737,
11,Cobb,Vinings 01,3260,199,288,274,1,762,198,739,587,1,1525,2287,
12,Cobb,Vinings 02,6400,301,642,602,1,1546,396,1298,1134,3,2831,4377,
13,Cobb,Vinings 03,4407,105,301,265,2,673,99,487,497,0,1083,1756,
14,Cobb,Vinings 04,3405,438,466,526,1,1431,180,505,507,0,1192,2623,
