index,County,Precinct,Registered Voters,Donald Ayres (I)_Election Day Votes,Donald Ayres (I)_Advanced Voting Votes,Donald Ayres (I)_Absentee by Mail Votes,Donald Ayres (I)_Provisional Votes,Donald Ayres (I)_Choice Total,"Robert L. Hosack, Jr. (I)_Election Day Votes","Robert L. Hosack, Jr. (I)_Advanced Voting Votes","Robert L. Hosack, Jr. (I)_Absentee by Mail Votes","Robert L. Hosack, Jr. (I)_Provisional Votes","Robert L. Hosack, Jr. (I)_Choice Total",Total,
0,Cobb,Acworth 1A,5458,371,1486,1079,2,2938,359,1435,1008,2,2804,5742,
1,Cobb,Acworth 1B,5214,530,1312,865,4,2711,488,1245,807,3,2543,5254,
2,Cobb,Acworth 1C,5110,369,1299,801,4,2473,367,1284,765,5,2421,4894,
3,Cobb,Addison 01,2444,295,556,625,0,1476,271,526,615,0,1412,2888,
4,Cobb,Austell 1A,5329,378,1016,720,7,2121,361,1001,727,7,2096,4217,
5,Cobb,Bells Ferry 02,3127,374,717,601,1,1693,358,682,575,1,1616,3309,
6,Cobb,Bells Ferry 03,2436,386,483,382,2,1253,363,463,355,3,1184,2437,
7,Cobb,Bells Ferry 04,3646,539,864,660,1,2064,503,824,646,3,1976,4040,
8,Cobb,Big Shanty 01,2385,307,532,421,4,1264,292,523,405,5,1225,2489,
9,Cobb,Big Shanty 02,3236,396,827,650,2,1875,380,805,607,3,1795,3670,
10,Cobb,Baker 01,4773,512,1246,658,5,2421,505,1237,637,4,2383,4804,
11,Cobb,Birney 01,2727,243,470,481,8,1202,235,446,472,4,1157,2359,
12,Cobb,Birney 02,3894,272,919,832,2,2025,254,881,796,2,1933,3958,
13,Cobb,Bryant 01,2142,154,496,299,2,951,153,507,285,2,947,1898,
14,Cobb,Bryant 02,6209,377,1042,504,1,1924,403,1103,506,2,2014,3938,
15,Cobb,Blackwell 01,2698,318,618,569,2,1507,309,574,537,2,1422,2929,
16,Cobb,Chattahoochee 01,5969,524,1428,845,3,2800,519,1443,822,5,2789,5589,
17,Cobb,Cheatham Hill 02,3085,366,854,729,0,1949,341,811,692,0,1844,3793,
18,Cobb,Cheatham Hill 03,4029,393,1216,913,1,2523,371,1174,899,1,2445,4968,
19,Cobb,Chalker 01,6065,628,1344,851,1,2824,591,1353,828,1,2773,5597,
20,Cobb,Clarkdale 01,1937,164,364,288,1,817,153,356,280,1,790,1607,
21,Cobb,Clarkdale 02,5372,511,1209,734,2,2456,484,1156,711,2,2353,4809,
22,Cobb,Cooper 01,5252,362,1028,721,1,2112,375,1020,708,1,2104,4216,
23,Cobb,Chestnut Ridge 01,3162,380,804,902,0,2086,363,759,837,0,1959,4045,
24,Cobb,Dickerson 01,2828,307,748,792,3,1850,293,702,744,3,1742,3592,
25,Cobb,Dobbins 01,3024,247,398,314,10,969,245,393,289,6,933,1902,
26,Cobb,Dobbins 02,3984,408,846,458,2,1714,426,843,460,6,1735,3449,
27,Cobb,Dowell 01,3197,333,875,635,3,1846,308,847,627,2,1784,3630,
28,Cobb,Dodgen 01,2100,299,526,547,3,1375,275,499,530,3,1307,2682,
29,Cobb,Durham 01,4256,428,1526,883,2,2839,393,1425,852,2,2672,5511,
30,Cobb,Davis 01,2093,396,498,430,0,1324,363,485,420,0,1268,2592,
31,Cobb,Eastside 01,3040,387,730,889,4,2010,355,686,841,3,1885,3895,
32,Cobb,Eastside 02,4074,361,931,1214,1,2507,336,878,1138,1,2353,4860,
33,Cobb,Elizabeth 01,4065,426,820,479,4,1729,398,808,481,3,1690,3419,
34,Cobb,Elizabeth 02,2434,289,499,586,3,1377,277,496,554,2,1329,2706,
35,Cobb,Elizabeth 03,2767,341,639,753,1,1734,321,603,732,1,1657,3391,
36,Cobb,Elizabeth 04,3011,392,530,540,1,1463,374,522,532,0,1428,2891,
37,Cobb,Elizabeth 05,2884,386,660,673,1,1720,361,625,623,1,1610,3330,
38,Cobb,East Piedmont 01,2627,348,536,481,0,1365,339,508,471,0,1318,2683,
39,Cobb,Fair Oaks 02,5779,508,955,855,2,2320,506,952,827,4,2289,4609,
40,Cobb,Fair Oaks 04,5322,523,617,583,3,1726,511,597,591,4,1703,3429,
41,Cobb,Fullers Park 01,3452,412,865,905,0,2182,393,837,874,0,2104,4286,
42,Cobb,Ford 01,3161,353,1089,606,0,2048,331,1035,570,1,1937,3985,
43,Cobb,Frey 01,2582,200,944,475,0,1619,196,882,453,0,1531,3150,
44,Cobb,Garrison Mill 01,2872,392,766,634,1,1793,361,733,608,1,1703,3496,
45,Cobb,Gritters 01,4033,555,864,821,0,2240,521,853,782,2,2158,4398,
46,Cobb,Harmony-Leland 01,6394,340,1632,1102,3,3077,346,1621,1084,3,3054,6131,
47,Cobb,Harrison 01,3122,384,1015,643,0,2042,356,951,610,0,1917,3959,
48,Cobb,Hightower 01,4262,430,1012,1343,0,2785,410,975,1301,0,2686,5471,
49,Cobb,Hayes 01,4111,420,1258,882,0,2560,391,1175,832,1,2399,4959,
50,Cobb,Kennesaw 1A,2499,342,604,334,11,1291,330,569,316,10,1225,2516,
51,Cobb,Kennesaw 2A,3944,412,1005,609,3,2029,381,946,586,4,1917,3946,
52,Cobb,Kennesaw 3A,6477,505,1515,955,5,2980,517,1494,932,2,2945,5925,
53,Cobb,Kennesaw 4A,3783,345,988,731,3,2067,329,944,710,2,1985,4052,
54,Cobb,Kennesaw 5A,5855,692,1621,923,1,3237,682,1574,912,1,3169,6406,
55,Cobb,Kell 01,2006,349,435,437,1,1222,331,415,416,1,1163,2385,
56,Cobb,Kemp 01,1960,270,584,441,0,1295,256,551,419,0,1226,2521,
57,Cobb,Kemp 02,4049,446,1138,906,3,2493,418,1071,869,4,2362,4855,
58,Cobb,Kemp 03,3955,543,1298,769,1,2611,518,1236,721,0,2475,5086,
59,Cobb,Lassiter 01,3647,497,957,901,0,2355,468,905,878,0,2251,4606,
60,Cobb,Lindley 01,4797,343,1229,1018,0,2590,334,1182,1003,0,2519,5109,
61,Cobb,Lost Mountain 01,3604,249,1299,752,1,2301,222,1220,733,1,2176,4477,
62,Cobb,Lost Mountain 02,4121,402,1617,830,0,2849,385,1502,793,0,2680,5529,
63,Cobb,Lost Mountain 03,5387,341,2034,1066,1,3442,327,1906,1027,2,3262,6704,
64,Cobb,Lost Mountain 04,2629,273,884,542,1,1700,258,851,498,0,1607,3307,
65,Cobb,Mableton 01,5127,287,1114,985,1,2387,280,1099,945,1,2325,4712,
66,Cobb,Mableton 02,3330,271,537,488,0,1296,254,519,455,0,1228,2524,
67,Cobb,Mableton 03,3010,266,626,589,2,1483,261,593,558,2,1414,2897,
68,Cobb,Mableton 04,1581,157,373,401,0,931,150,354,381,0,885,1816,
69,Cobb,Mabry 01,1656,263,457,399,4,1123,251,449,373,4,1077,2200,
70,Cobb,Macland 01,4213,309,1040,661,0,2010,311,1004,673,1,1989,3999,
71,Cobb,Murdock 01,4059,521,940,1165,0,2626,496,903,1125,0,2524,5150,
72,Cobb,McEachern 01,3549,231,957,677,0,1865,232,909,631,1,1773,3638,
73,Cobb,McCleskey 01,1736,277,443,396,0,1116,256,420,372,0,1048,2164,
74,Cobb,McClure 01,3290,427,1025,611,3,2066,398,976,588,2,1964,4030,
75,Cobb,Marietta 1A,4468,397,728,537,3,1665,398,730,527,5,1660,3325,
76,Cobb,Marietta 2A,2059,329,503,507,0,1339,307,470,478,0,1255,2594,
77,Cobb,Marietta 2B,4447,427,974,787,1,2189,442,946,767,2,2157,4346,
78,Cobb,Marietta 3A,4388,400,991,874,2,2267,387,987,845,2,2221,4488,
79,Cobb,Marietta 3B,2218,152,373,330,0,855,152,375,332,1,860,1715,
80,Cobb,Marietta 4A,1956,404,421,466,0,1291,387,405,436,0,1228,2519,
81,Cobb,Marietta 4B,2056,229,447,434,0,1110,223,438,404,0,1065,2175,
82,Cobb,Marietta 4C,2781,331,843,631,0,1805,314,798,590,0,1702,3507,
83,Cobb,Marietta 5A,3324,323,566,471,1,1361,326,560,471,2,1359,2720,
84,Cobb,Marietta 5B,3084,285,477,356,1,1119,286,490,335,3,1114,2233,
85,Cobb,Marietta 6A,2647,262,492,305,4,1063,251,496,296,5,1048,2111,
86,Cobb,Marietta 6B,2910,300,707,663,0,1670,297,689,633,0,1619,3289,
87,Cobb,Marietta 7A,3745,261,625,364,2,1252,276,624,359,4,1263,2515,
88,Cobb,Mars Hill 01,3633,454,1175,622,0,2251,415,1099,582,1,2097,4348,
89,Cobb,Mars Hill 02,2916,349,799,477,0,1625,331,767,465,0,1563,3188,
90,Cobb,Mt Bethel 01,4125,435,995,1251,6,2687,414,958,1186,4,2562,5249,
91,Cobb,Mt Bethel 03,3294,251,906,883,0,2040,232,887,843,0,1962,4002,
92,Cobb,Mt Bethel 04,2981,301,727,862,0,1890,291,684,811,0,1786,3676,
93,Cobb,North Cobb 01,2317,259,597,411,0,1267,253,579,382,0,1214,2481,
94,Cobb,Nickajack 01,4889,347,1263,809,3,2422,349,1250,790,2,2391,4813,
95,Cobb,Norton Park 01,4922,428,866,905,6,2205,417,846,882,6,2151,4356,
96,Cobb,Nicholson 01,2455,354,571,488,1,1414,347,548,462,0,1357,2771,
97,Cobb,Oakdale 01,3944,341,974,950,0,2265,327,949,912,0,2188,4453,
98,Cobb,Oregon 01,1614,223,511,333,2,1069,215,468,318,2,1003,2072,
99,Cobb,Oregon 02,5671,452,1160,983,0,2595,457,1155,959,2,2573,5168,
100,Cobb,Oregon 03,5713,489,880,699,5,2073,481,864,704,7,2056,4129,
101,Cobb,Oregon 04,4673,345,988,817,1,2151,359,975,833,2,2169,4320,
102,Cobb,Oregon 05,3846,376,1119,709,0,2204,356,1088,679,1,2124,4328,
103,Cobb,Pebblebrook 01,5218,379,1094,729,5,2207,398,1065,717,5,2185,4392,
104,Cobb,Powers Ferry 01,3504,425,758,698,0,1881,409,726,652,2,1789,3670,
105,Cobb,Pine Mountain 01,3491,414,1164,738,3,2319,381,1116,703,3,2203,4522,
106,Cobb,Pine Mountain 02,3127,418,974,711,2,2105,387,921,688,2,1998,4103,
107,Cobb,Post Oak 01,3660,433,1055,880,4,2372,402,1008,833,3,2246,4618,
108,Cobb,Pope 01,3153,320,811,798,0,1929,294,792,770,0,1856,3785,
109,Cobb,Palmer 01,2760,350,641,552,0,1543,341,606,520,0,1467,3010,
110,Cobb,Powders Springs 1A,4755,244,1330,915,2,2491,241,1311,871,2,2425,4916,
111,Cobb,Powders Springs 2A,3536,214,753,457,2,1426,210,767,447,0,1424,2850,
112,Cobb,Powders Springs 3A,3991,249,1010,554,1,1814,251,1008,513,1,1773,3587,
113,Cobb,Pitner 01,2814,428,704,473,0,1605,404,694,455,2,1555,3160,
114,Cobb,Rocky Mount 01,3390,509,824,732,1,2066,498,771,724,2,1995,4061,
115,Cobb,Riverside 01,2133,182,338,200,0,720,171,346,186,0,703,1423,
116,Cobb,Roswell 01,5374,593,1375,1583,1,3552,551,1308,1532,1,3392,6944,
117,Cobb,Roswell 02,3701,462,865,1067,3,2397,435,820,1024,3,2282,4679,
118,Cobb,Sandy Plains 01,2933,389,694,693,0,1776,357,662,662,1,1682,3458,
119,Cobb,Shallowford Falls 01,3387,461,870,899,0,2230,443,838,870,1,2152,4382,
120,Cobb,Simpson 01,1868,210,536,424,1,1171,198,521,415,1,1135,2306,
121,Cobb,Sewell Mill 01,3493,428,869,907,0,2204,397,836,869,0,2102,4306,
122,Cobb,Sewell Mill 03,4759,530,877,858,3,2268,508,857,828,6,2199,4467,
123,Cobb,Smyrna 1A,4152,405,733,594,1,1733,419,730,586,3,1738,3471,
124,Cobb,Smyrna 2A,5539,443,1290,902,2,2637,441,1291,889,1,2622,5259,
125,Cobb,Smyrna 3A,4573,355,1108,830,3,2296,343,1091,817,0,2251,4547,
126,Cobb,Smyrna 3B,2496,240,645,540,1,1426,232,626,532,1,1391,2817,
127,Cobb,Smyrna 4A,5842,454,1451,1553,4,3462,438,1373,1497,4,3312,6774,
128,Cobb,Smyrna 5A,4319,390,836,774,7,2007,397,826,748,8,1979,3986,
129,Cobb,Smyrna 6A,5936,501,1527,1422,2,3452,472,1469,1364,5,3310,6762,
130,Cobb,Smyrna 7A,6378,347,1776,1521,0,3644,340,1744,1506,0,3590,7234,
131,Cobb,Sope Creek 01,2163,312,507,633,1,1453,297,476,605,1,1379,2832,
132,Cobb,Sope Creek 02,4729,471,1184,1127,3,2785,457,1130,1081,3,2671,5456,
133,Cobb,Sope Creek 03,2886,380,709,698,0,1787,347,682,663,0,1692,3479,
134,Cobb,Sweetwater 01,3235,295,802,481,0,1578,263,764,470,1,1498,3076,
135,Cobb,Sweetwater 02,3367,241,510,508,13,1272,237,515,468,13,1233,2505,
136,Cobb,Terrell Mill 01,5816,531,1079,871,5,2486,514,1052,861,6,2433,4919,
137,Cobb,Timber Ridge 01,2448,294,621,694,1,1610,283,609,657,1,1550,3160,
