index,County,Precinct,Registered Voters,Lindsey Tippins (I) (Rep)_Election Day Votes,Lindsey Tippins (I) (Rep)_Advanced Voting Votes,Lindsey Tippins (I) (Rep)_Absentee by Mail Votes,Lindsey Tippins (I) (Rep)_Provisional Votes,Lindsey Tippins (I) (Rep)_Choice Total,Vanessa Parker (Dem)_Election Day Votes,Vanessa Parker (Dem)_Advanced Voting Votes,Vanessa Parker (Dem)_Absentee by Mail Votes,Vanessa Parker (Dem)_Provisional Votes,Vanessa Parker (Dem)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,278,1098,638,1,2015,205,838,860,2,1905,3920,
1,Cobb,Acworth 1B,5214,413,994,589,1,1997,276,697,626,3,1602,3599,
2,Cobb,Acworth 1C,5110,218,700,321,0,1239,288,1084,790,5,2167,3406,
3,Cobb,Big Shanty 01,2385,228,373,284,4,889,140,293,256,1,690,1579,
4,Cobb,Baker 01,4773,354,709,333,2,1398,299,969,623,5,1896,3294,
5,Cobb,Cheatham Hill 02,3085,323,733,502,0,1558,116,364,435,0,915,2473,
6,Cobb,Cheatham Hill 03,4029,343,851,596,0,1790,129,694,645,0,1468,3258,
7,Cobb,Chalker 01,6065,319,646,448,0,1413,496,1132,766,2,2396,3809,
8,Cobb,Dowell 01,3197,263,575,372,1,1211,167,566,544,1,1278,2489,
9,Cobb,Durham 01,4256,408,1406,642,1,2457,82,465,453,1,1001,3458,
10,Cobb,Elizabeth 01,4065,209,302,172,0,683,293,780,523,4,1600,2283,
11,Cobb,East Piedmont 01,2627,102,156,101,1,360,118,316,277,0,711,1071,
12,Cobb,Ford 01,3161,321,996,458,1,1776,78,336,336,0,750,2526,
13,Cobb,Frey 01,2582,179,836,335,0,1350,65,307,278,0,650,2000,
14,Cobb,Harrison 01,3122,354,897,514,0,1765,94,320,318,0,732,2497,
15,Cobb,Hayes 01,4111,371,1083,658,0,2112,123,464,525,1,1113,3225,
16,Cobb,Kennesaw 1A,2499,185,332,195,6,718,175,341,196,2,714,1432,
17,Cobb,Kennesaw 2A,3944,319,721,372,1,1413,202,572,495,1,1270,2683,
18,Cobb,Kennesaw 3A,6477,308,879,464,1,1652,386,1232,946,3,2567,4219,
19,Cobb,Kennesaw 4A,3783,250,679,432,2,1363,185,577,532,1,1295,2658,
20,Cobb,Kennesaw 5A,5855,530,1054,495,0,2079,334,1116,876,2,2328,4407,
21,Cobb,Kemp 01,1960,254,516,343,0,1113,66,187,214,0,467,1580,
22,Cobb,Kemp 02,4049,398,868,648,1,1915,142,567,551,2,1262,3177,
23,Cobb,Kemp 03,3955,525,1176,609,1,2311,97,401,393,0,891,3202,
24,Cobb,Lost Mountain 01,3604,216,1065,564,1,1846,86,546,494,0,1126,2972,
25,Cobb,Lost Mountain 02,4121,373,1438,681,0,2492,98,522,420,0,1040,3532,
26,Cobb,Lost Mountain 03,5387,295,1731,774,1,2801,120,792,615,1,1528,4329,
27,Cobb,Lost Mountain 04,2629,261,750,364,1,1376,58,345,321,0,724,2100,
28,Cobb,McClure 01,3290,386,870,424,2,1682,118,380,404,1,903,2585,
29,Cobb,Marietta 2A,2059,29,57,44,0,130,13,55,50,0,118,248,
30,Cobb,Marietta 4C,2781,306,701,433,0,1440,83,328,412,0,823,2263,
31,Cobb,Marietta 5B,3084,46,53,19,0,118,109,193,126,2,430,548,
32,Cobb,Mars Hill 01,3633,437,1118,491,2,2048,97,280,308,0,685,2733,
33,Cobb,Mars Hill 02,2916,303,610,288,0,1201,126,397,361,0,884,2085,
34,Cobb,North Cobb 01,2317,217,388,217,0,822,115,402,321,0,838,1660,
35,Cobb,Oregon 01,1614,181,412,238,0,831,79,220,202,1,502,1333,
36,Cobb,Oregon 05,3846,313,613,388,1,1315,164,899,645,0,1708,3023,
37,Cobb,Pine Mountain 01,3491,367,1005,546,1,1919,116,389,388,4,897,2816,
38,Cobb,Pine Mountain 02,3127,413,872,618,0,1903,83,303,317,1,704,2607,
39,Cobb,Vaughan 01,3146,371,975,391,0,1737,93,383,316,0,792,2529,
