index,County,Precinct,Registered Voters,David Wilkerson (I) (Dem)_Election Day Votes,David Wilkerson (I) (Dem)_Advanced Voting Votes,David Wilkerson (I) (Dem)_Absentee by Mail Votes,David Wilkerson (I) (Dem)_Provisional Votes,David Wilkerson (I) (Dem)_Choice Total,Total,
0,Cobb,Birney 01,2727,285,548,546,8,1387,1387,
1,Cobb,Birney 02,3894,287,1037,979,3,2306,2306,
2,Cobb,Clarkdale 01,1937,102,244,210,1,557,557,
3,Cobb,Cooper 01,5252,481,1376,1018,2,2877,2877,
4,Cobb,Mableton 01,5127,259,1090,931,0,2280,2280,
5,Cobb,Macland 01,4213,347,1252,895,0,2494,2494,
6,Cobb,McEachern 01,3549,227,1017,794,1,2039,2039,
7,Cobb,Oregon 02,5671,72,223,141,0,436,436,
8,Cobb,Powders Springs 1A,4755,276,1523,1150,3,2952,2952,
9,Cobb,Powders Springs 2A,3536,270,1040,679,3,1992,1992,
10,Cobb,Powders Springs 3A,3991,318,1272,694,1,2285,2285,
11,Cobb,Sweetwater 01,3235,287,867,592,0,1746,1746,
12,Cobb,Sweetwater 02,3367,308,682,656,17,1663,1663,
