index,County,Precinct,Registered Voters,David Banks (I) (Rep)_Election Day Votes,David Banks (I) (Rep)_Advanced Voting Votes,David Banks (I) (Rep)_Absentee by Mail Votes,David Banks (I) (Rep)_Provisional Votes,David Banks (I) (Rep)_Choice Total,Julia Hurtado (Dem)_Election Day Votes,Julia Hurtado (Dem)_Advanced Voting Votes,Julia Hurtado (Dem)_Absentee by Mail Votes,Julia Hurtado (Dem)_Provisional Votes,Julia Hurtado (Dem)_Choice Total,Total,
0,Cobb,Chestnut Ridge 01,3162,311,591,574,0,1476,142,386,625,0,1153,2629,
1,Cobb,Dobbins 01,3024,33,47,32,0,112,98,212,124,0,434,546,
2,Cobb,Dodgen 01,2100,85,108,92,1,286,22,74,131,0,227,513,
3,Cobb,Davis 01,2093,306,332,235,0,873,155,294,351,0,800,1673,
4,Cobb,Eastside 01,3040,199,336,313,1,849,66,198,376,0,640,1489,
5,Cobb,Eastside 02,4074,90,289,285,0,664,52,193,339,0,584,1248,
6,Cobb,Elizabeth 01,4065,8,12,5,0,25,16,29,9,0,54,79,
7,Cobb,Elizabeth 03,2767,210,307,356,1,874,98,258,333,0,689,1563,
8,Cobb,Elizabeth 04,3011,258,278,228,0,764,259,460,515,0,1234,1998,
9,Cobb,Elizabeth 05,2884,326,460,371,0,1157,154,366,554,1,1075,2232,
10,Cobb,Fullers Park 01,3452,307,576,481,0,1364,151,376,625,0,1152,2516,
11,Cobb,Garrison Mill 01,2872,317,555,353,1,1226,153,400,519,0,1072,2298,
12,Cobb,Hightower 01,4262,375,733,821,0,1929,133,495,911,0,1539,3468,
13,Cobb,Lassiter 01,3647,171,322,231,0,724,55,190,275,0,520,1244,
14,Cobb,Mabry 01,1656,223,355,263,3,844,78,200,251,2,531,1375,
15,Cobb,Murdock 01,4059,408,664,683,0,1755,184,508,846,0,1538,3293,
16,Cobb,Powers Ferry 01,3504,343,483,390,0,1216,191,487,571,1,1250,2466,
17,Cobb,Post Oak 01,3660,376,780,547,3,1706,132,463,613,1,1209,2915,
18,Cobb,Pope 01,3153,255,623,482,0,1360,127,417,604,0,1148,2508,
19,Cobb,Roswell 01,5374,476,993,932,0,2401,191,645,1229,0,2065,4466,
20,Cobb,Roswell 02,3701,273,426,397,2,1098,125,284,519,0,928,2026,
21,Cobb,Sandy Plains 01,2933,310,448,374,0,1132,157,434,568,1,1160,2292,
22,Cobb,Shallowford Falls 01,3387,389,631,516,0,1536,139,416,681,0,1236,2772,
23,Cobb,Simpson 01,1868,163,335,214,0,712,85,329,345,1,760,1472,
24,Cobb,Sewell Mill 01,3493,341,572,498,0,1411,164,483,700,0,1347,2758,
25,Cobb,Sewell Mill 03,4759,280,347,374,2,1003,324,711,625,0,1660,2663,
26,Cobb,Willeo 01,2836,331,515,453,0,1299,144,335,543,1,1023,2322,
