index,County,Precinct,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total,
0,Cobb,Austell 1A,5329,157,257,171,1,586,378,1303,981,11,2673,3259,
1,Cobb,Birney 01,2727,127,240,240,3,610,224,472,462,7,1165,1775,
2,Cobb,Birney 02,3894,181,398,349,1,929,200,888,858,4,1950,2879,
3,Cobb,Bryant 01,2142,20,39,23,1,83,194,716,470,2,1382,1465,
4,Cobb,Bryant 02,6209,56,98,56,0,210,538,1499,793,4,2834,3044,
5,Cobb,Clarkdale 01,1937,115,196,138,0,449,126,342,323,2,793,1242,
6,Cobb,Clarkdale 02,5372,257,445,264,0,966,445,1303,855,3,2606,3572,
7,Cobb,Cooper 01,5252,118,296,227,0,641,424,1251,931,3,2609,3250,
8,Cobb,Fair Oaks 04,5322,161,149,143,0,453,257,331,331,2,921,1374,
9,Cobb,Harmony-Leland 01,6394,123,340,207,0,670,356,1962,1486,4,3808,4478,
10,Cobb,Lindley 01,4797,166,361,270,0,797,304,1430,1182,1,2917,3714,
11,Cobb,Mableton 01,5127,133,473,372,2,980,287,1180,1066,0,2533,3513,
12,Cobb,Mableton 02,3330,126,213,175,0,514,254,611,542,0,1407,1921,
13,Cobb,Mableton 03,3010,177,383,306,1,867,193,550,522,2,1267,2134,
14,Cobb,Mableton 04,1581,136,214,202,0,552,76,300,327,0,703,1255,
15,Cobb,Macland 01,4213,140,386,204,0,730,278,1092,809,2,2181,2911,
16,Cobb,McEachern 01,3549,149,525,351,1,1026,148,818,667,0,1633,2659,
17,Cobb,Norton Park 01,4922,229,473,446,1,1149,372,773,840,2,1987,3136,
18,Cobb,Oregon 02,5671,205,380,367,0,952,429,1271,1124,2,2826,3778,
19,Cobb,Oregon 04,4673,173,393,295,1,862,348,992,985,3,2328,3190,
20,Cobb,Pebblebrook 01,5218,114,259,193,0,566,437,1318,934,4,2693,3259,
21,Cobb,Powders Springs 1A,4755,139,526,314,1,980,201,1331,1053,3,2588,3568,
22,Cobb,Powders Springs 2A,3536,83,219,136,0,438,223,963,630,2,1818,2256,
23,Cobb,Powders Springs 3A,3991,115,369,198,0,682,266,1105,637,1,2009,2691,
24,Cobb,Riverside 01,2133,36,39,23,0,98,214,481,311,1,1007,1105,
25,Cobb,Smyrna 3A,4573,102,219,106,0,427,116,455,335,1,907,1334,
26,Cobb,Smyrna 3B,2496,163,372,238,0,773,135,491,515,1,1142,1915,
27,Cobb,Smyrna 4A,5842,331,805,782,1,1919,246,1096,1422,1,2765,4684,
28,Cobb,Smyrna 5A,4319,216,352,253,0,821,344,832,804,5,1985,2806,
29,Cobb,Smyrna 6A,5936,44,76,46,0,166,19,59,65,0,143,309,
30,Cobb,Smyrna 7A,6378,205,668,486,0,1359,213,1699,1632,0,3544,4903,
31,Cobb,Sweetwater 01,3235,182,422,230,0,834,207,726,519,1,1453,2287,
32,Cobb,Sweetwater 02,3367,88,165,160,3,416,269,623,618,16,1526,1942,
