index,County,Precinct,Registered Voters,"Stephen M. George, Jr. (Rep)_Election Day Votes","Stephen M. George, Jr. (Rep)_Advanced Voting Votes","Stephen M. George, Jr. (Rep)_Absentee by Mail Votes","Stephen M. George, Jr. (Rep)_Provisional Votes","Stephen M. George, Jr. (Rep)_Choice Total",Michael Smith (I) (Dem)_Election Day Votes,Michael Smith (I) (Dem)_Advanced Voting Votes,Michael Smith (I) (Dem)_Absentee by Mail Votes,Michael Smith (I) (Dem)_Provisional Votes,Michael Smith (I) (Dem)_Choice Total,Total,
0,Cobb,Cheatham Hill 03,4029,58,232,136,0,426,55,256,196,0,507,933,
1,Cobb,Fair Oaks 02,5779,234,393,295,2,924,512,1074,941,2,2529,3453,
2,Cobb,Fair Oaks 04,5322,250,294,259,0,803,539,653,635,2,1829,2632,
3,Cobb,Marietta 2B,4447,46,105,79,0,230,184,404,272,0,860,1090,
4,Cobb,Marietta 3B,2218,5,17,22,0,44,56,158,179,0,393,437,
5,Cobb,Norton Park 01,4922,133,250,211,2,596,257,479,507,0,1243,1839,
6,Cobb,Oregon 02,5671,200,351,336,0,887,360,1076,983,0,2419,3306,
7,Cobb,Oregon 03,5713,101,175,192,2,470,253,569,494,1,1317,1787,
8,Cobb,Oregon 04,4673,185,404,293,0,882,334,978,977,1,2290,3172,
9,Cobb,Smyrna 3B,2496,0,4,3,0,7,1,19,9,0,29,36,
10,Cobb,Smyrna 5A,4319,171,251,187,0,609,228,671,641,4,1544,2153,
