index,County,Precinct,Registered Voters,Barry Loudermilk (I) (Rep)_Election Day Votes,Barry Loudermilk (I) (Rep)_Advanced Voting Votes,Barry Loudermilk (I) (Rep)_Absentee by Mail Votes,Barry Loudermilk (I) (Rep)_Provisional Votes,Barry Loudermilk (I) (Rep)_Choice Total,Dana Barrett (Dem)_Election Day Votes,Dana Barrett (Dem)_Advanced Voting Votes,Dana Barrett (Dem)_Absentee by Mail Votes,Dana Barrett (Dem)_Provisional Votes,Dana Barrett (Dem)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,281,1093,626,0,2000,207,841,875,3,1926,3926,
1,Cobb,Acworth 1B,5214,420,1006,568,2,1996,268,691,654,3,1616,3612,
2,Cobb,Acworth 1C,5110,211,706,302,0,1219,296,1083,818,7,2204,3423,
3,Cobb,Big Shanty 01,2385,227,367,270,4,868,137,298,275,1,711,1579,
4,Cobb,Big Shanty 02,3236,301,591,402,3,1297,188,449,513,1,1151,2448,
5,Cobb,Baker 01,4773,358,711,307,2,1378,301,971,645,7,1924,3302,
6,Cobb,Chattahoochee 01,5969,143,308,163,0,614,158,570,497,2,1227,1841,
7,Cobb,Cheatham Hill 02,3085,322,718,455,0,1495,116,383,491,1,991,2486,
8,Cobb,Cheatham Hill 03,4029,329,843,564,1,1737,143,711,689,0,1543,3280,
9,Cobb,Chalker 01,6065,328,640,427,0,1395,484,1142,790,3,2419,3814,
10,Cobb,Dobbins 01,3024,112,135,115,5,367,246,425,348,5,1024,1391,
11,Cobb,Dobbins 02,3984,199,306,149,1,655,353,853,526,3,1735,2390,
12,Cobb,Dowell 01,3197,261,566,348,0,1175,166,575,567,3,1311,2486,
13,Cobb,Durham 01,4256,411,1387,611,1,2410,83,489,485,1,1058,3468,
14,Cobb,Elizabeth 01,4065,226,334,180,0,740,323,814,559,4,1700,2440,
15,Cobb,East Piedmont 01,2627,216,253,190,1,660,169,371,384,0,924,1584,
16,Cobb,Fair Oaks 02,5779,250,401,309,3,963,486,1058,940,3,2487,3450,
