index,County,Precinct,Registered Voters,Don L. Parsons (I) (Rep)_Election Day Votes,Don L. Parsons (I) (Rep)_Advanced Voting Votes,Don L. Parsons (I) (Rep)_Absentee by Mail Votes,Don L. Parsons (I) (Rep)_Provisional Votes,Don L. Parsons (I) (Rep)_Choice Total,Connie DiCicco (Dem)_Election Day Votes,Connie DiCicco (Dem)_Advanced Voting Votes,Connie DiCicco (Dem)_Absentee by Mail Votes,Connie DiCicco (Dem)_Provisional Votes,Connie DiCicco (Dem)_Choice Total,Total,
0,Cobb,Addison 01,2444,234,374,381,0,989,140,328,471,1,940,1929,
1,Cobb,Bells Ferry 02,3127,321,511,343,1,1176,162,420,488,1,1071,2247,
2,Cobb,Bells Ferry 04,3646,472,631,402,0,1505,196,461,481,2,1140,2645,
3,Cobb,Big Shanty 02,3236,308,573,394,2,1277,183,463,511,0,1157,2434,
4,Cobb,Blackwell 01,2698,222,441,282,1,946,186,371,516,0,1073,2019,
5,Cobb,Chalker 01,6065,325,634,430,1,1390,486,1146,785,0,2417,3807,
6,Cobb,Elizabeth 03,2767,94,136,151,1,382,31,115,122,0,268,650,
7,Cobb,Elizabeth 05,2884,350,467,385,0,1202,142,363,550,0,1055,2257,
8,Cobb,Gritters 01,4033,435,685,512,0,1632,254,473,602,1,1330,2962,
9,Cobb,Kennesaw 1A,2499,41,42,16,0,99,41,90,41,1,173,272,
10,Cobb,Lassiter 01,3647,255,393,322,0,970,91,290,359,2,742,1712,
11,Cobb,Pope 01,3153,170,416,326,0,912,82,259,358,0,699,1611,
12,Cobb,Palmer 01,2760,292,486,373,0,1151,153,343,363,0,859,2010,
13,Cobb,Pitner 01,2814,361,524,301,0,1186,172,377,358,1,908,2094,
14,Cobb,Sandy Plains 01,2933,311,471,383,0,1165,155,424,560,1,1140,2305,
15,Cobb,Simpson 01,1868,183,388,255,1,827,67,279,305,0,651,1478,
