index,County,Precinct,Registered Voters,Donald L. Perryman (I) (Rep)_Election Day Votes,Donald L. Perryman (I) (Rep)_Advanced Voting Votes,Donald L. Perryman (I) (Rep)_Absentee by Mail Votes,Donald L. Perryman (I) (Rep)_Provisional Votes,Donald L. Perryman (I) (Rep)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,403,1565,1047,3,3018,3018,
1,Cobb,Acworth 1B,5214,576,1390,872,3,2841,2841,
2,Cobb,Acworth 1C,5110,403,1313,755,5,2476,2476,
3,Cobb,Addison 01,2444,326,555,622,0,1503,1503,
4,Cobb,Austell 1A,5329,390,941,651,9,1991,1991,
5,Cobb,Bells Ferry 02,3127,416,760,594,1,1771,1771,
6,Cobb,Bells Ferry 03,2436,410,504,358,3,1275,1275,
7,Cobb,Bells Ferry 04,3646,603,900,657,4,2164,2164,
8,Cobb,Big Shanty 01,2385,330,565,436,5,1336,1336,
9,Cobb,Big Shanty 02,3236,415,859,622,3,1899,1899,
10,Cobb,Baker 01,4773,539,1269,647,6,2461,2461,
11,Cobb,Birney 01,2727,260,498,495,9,1262,1262,
12,Cobb,Birney 02,3894,309,912,782,1,2004,2004,
13,Cobb,Bryant 01,2142,134,395,224,1,754,754,
14,Cobb,Bryant 02,6209,353,913,459,0,1725,1725,
15,Cobb,Blackwell 01,2698,339,649,551,2,1541,1541,
16,Cobb,Chattahoochee 01,5969,535,1359,787,5,2686,2686,
17,Cobb,Cheatham Hill 02,3085,402,920,708,0,2030,2030,
18,Cobb,Cheatham Hill 03,4029,410,1216,879,1,2506,2506,
19,Cobb,Chalker 01,6065,673,1373,839,2,2887,2887,
20,Cobb,Clarkdale 01,1937,183,377,292,2,854,854,
21,Cobb,Clarkdale 02,5372,529,1125,707,2,2363,2363,
22,Cobb,Cooper 01,5252,359,959,694,1,2013,2013,
23,Cobb,Chestnut Ridge 01,3162,407,808,873,0,2088,2088,
24,Cobb,Dickerson 01,2828,332,769,757,3,1861,1861,
25,Cobb,Dobbins 01,3024,267,406,293,10,976,976,
26,Cobb,Dobbins 02,3984,434,817,447,2,1700,1700,
27,Cobb,Dowell 01,3197,356,881,620,3,1860,1860,
28,Cobb,Dodgen 01,2100,313,545,536,3,1397,1397,
29,Cobb,Durham 01,4256,458,1639,869,1,2967,2967,
30,Cobb,Davis 01,2093,418,504,413,0,1335,1335,
31,Cobb,Eastside 01,3040,401,739,867,4,2011,2011,
32,Cobb,Eastside 02,4074,401,983,1181,2,2567,2567,
33,Cobb,Elizabeth 01,4065,445,838,472,4,1759,1759,
34,Cobb,Elizabeth 02,2434,331,550,578,4,1463,1463,
