index,County,Precinct,Registered Voters,Leroy Tre Hutchins (Dem)_Election Day Votes,Leroy Tre Hutchins (Dem)_Advanced Voting Votes,Leroy Tre Hutchins (Dem)_Absentee by Mail Votes,Leroy Tre Hutchins (Dem)_Provisional Votes,Leroy Tre Hutchins (Dem)_Choice Total,Total,
0,Cobb,Austell 1A,5329,462,1387,1037,8,2894,2894,
1,Cobb,Bryant 01,2142,199,726,482,3,1410,1410,
2,Cobb,Bryant 02,6209,562,1521,817,4,2904,2904,
3,Cobb,Clarkdale 01,1937,175,400,355,2,932,932,
4,Cobb,Clarkdale 02,5372,567,1470,954,4,2995,2995,
5,Cobb,Cooper 01,5252,454,1278,939,2,2673,2673,
6,Cobb,Harmony-Leland 01,6394,431,2082,1532,4,4049,4049,
7,Cobb,Mableton 01,5127,346,1356,1184,0,2886,2886,
8,Cobb,Mableton 02,3330,316,696,591,0,1603,1603,
9,Cobb,McEachern 01,3549,26,39,38,0,103,103,
10,Cobb,Oregon 02,5671,153,418,327,0,898,898,
11,Cobb,Pebblebrook 01,5218,484,1440,998,4,2926,2926,
12,Cobb,Powders Springs 1A,4755,270,1503,1125,3,2901,2901,
13,Cobb,Powders Springs 2A,3536,270,1034,670,3,1977,1977,
14,Cobb,Powders Springs 3A,3991,309,1252,690,1,2252,2252,
15,Cobb,Riverside 01,2133,231,493,315,1,1040,1040,
16,Cobb,Sweetwater 01,3235,289,865,578,1,1733,1733,
17,Cobb,Sweetwater 02,3367,308,671,656,17,1652,1652,
