index,County,Precinct,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,213,807,840,2,1862,274,1124,660,1,2059,3921,
1,Cobb,Acworth 1B,5214,267,696,595,3,1561,420,993,603,2,2018,3579,
2,Cobb,Acworth 1C,5110,284,1044,752,10,2090,216,745,355,0,1316,3406,
3,Cobb,Addison 01,2444,132,307,462,1,902,236,392,386,0,1014,1916,
4,Cobb,Austell 1A,5329,364,1229,896,9,2498,172,328,251,3,754,3252,
5,Cobb,Bells Ferry 02,3127,164,392,459,1,1016,315,533,371,1,1220,2236,
6,Cobb,Bells Ferry 03,2436,194,297,325,1,817,275,337,210,2,824,1641,
7,Cobb,Bells Ferry 04,3646,201,451,452,3,1107,464,639,430,2,1535,2642,
8,Cobb,Big Shanty 01,2385,140,284,252,1,677,226,378,290,5,899,1576,
9,Cobb,Big Shanty 02,3236,185,432,485,1,1103,305,604,417,3,1329,2432,
10,Cobb,Baker 01,4773,300,938,601,6,1845,355,740,350,3,1448,3293,
11,Cobb,Birney 01,2727,214,451,396,5,1066,139,259,298,6,702,1768,
12,Cobb,Birney 02,3894,183,816,756,4,1759,200,463,444,0,1107,2866,
13,Cobb,Bryant 01,2142,178,663,449,2,1292,36,86,48,1,171,1463,
14,Cobb,Bryant 02,6209,512,1389,736,6,2643,82,200,115,1,398,3041,
15,Cobb,Blackwell 01,2698,173,341,478,0,992,227,469,315,3,1014,2006,
16,Cobb,Chattahoochee 01,5969,399,1339,889,3,2630,289,574,323,4,1190,3820,
17,Cobb,Cheatham Hill 02,3085,117,375,413,0,905,317,724,517,1,1559,2464,
18,Cobb,Cheatham Hill 03,4029,133,676,619,0,1428,335,871,611,1,1818,3246,
19,Cobb,Chalker 01,6065,475,1099,723,2,2299,339,670,483,1,1493,3792,
20,Cobb,Clarkdale 01,1937,117,323,281,2,723,122,212,176,1,511,1234,
21,Cobb,Clarkdale 02,5372,430,1206,795,5,2436,281,533,340,0,1154,3590,
22,Cobb,Cooper 01,5252,393,1183,866,4,2446,150,378,291,0,819,3265,
23,Cobb,Chestnut Ridge 01,3162,118,338,535,0,991,331,637,667,0,1635,2626,
24,Cobb,Dickerson 01,2828,81,328,550,1,960,272,579,518,3,1372,2332,
25,Cobb,Dobbins 01,3024,246,399,331,7,983,110,155,125,6,396,1379,
26,Cobb,Dobbins 02,3984,356,818,481,4,1659,202,342,185,3,732,2391,
27,Cobb,Dowell 01,3197,162,538,510,4,1214,262,593,398,0,1253,2467,
28,Cobb,Dodgen 01,2100,86,242,353,1,682,261,395,394,2,1052,1734,
29,Cobb,Durham 01,4256,91,467,441,1,1000,402,1404,643,1,2450,3450,
30,Cobb,Davis 01,2093,132,265,327,0,724,326,360,258,0,944,1668,
31,Cobb,Eastside 01,3040,87,317,548,1,953,349,574,614,3,1540,2493,
32,Cobb,Eastside 02,4074,121,438,728,1,1288,331,761,916,2,2010,3298,
33,Cobb,Elizabeth 01,4065,307,771,520,3,1601,245,373,209,2,829,2430,
34,Cobb,Elizabeth 02,2434,122,300,347,2,771,255,394,429,2,1080,1851,
35,Cobb,Elizabeth 03,2767,113,346,405,0,864,319,471,562,2,1354,2218,
36,Cobb,Elizabeth 04,3011,258,443,465,0,1166,269,298,285,1,853,2019,
37,Cobb,Elizabeth 05,2884,136,337,494,1,968,351,489,426,0,1266,2234,
38,Cobb,East Piedmont 01,2627,201,402,400,0,1003,259,321,258,1,839,1842,
39,Cobb,Fair Oaks 02,5779,477,1007,900,3,2387,263,456,345,5,1069,3456,
40,Cobb,Fair Oaks 04,5322,522,625,588,8,1743,267,316,307,1,891,2634,
41,Cobb,Fullers Park 01,3452,140,385,609,0,1134,355,661,625,0,1641,2775,
42,Cobb,Ford 01,3161,77,328,316,0,721,323,999,473,1,1796,2517,
43,Cobb,Frey 01,2582,66,319,272,1,658,177,826,337,0,1340,1998,
44,Cobb,Garrison Mill 01,2872,132,368,444,0,944,338,584,429,1,1352,2296,
45,Cobb,Gritters 01,4033,246,457,563,1,1267,442,695,547,1,1685,2952,
46,Cobb,Harmony-Leland 01,6394,329,1837,1351,5,3522,149,467,331,0,947,4469,
47,Cobb,Harrison 01,3122,100,313,307,0,720,343,904,515,0,1762,2482,
48,Cobb,Hightower 01,4262,121,457,799,0,1377,388,782,938,0,2108,3485,
49,Cobb,Hayes 01,4111,125,444,498,1,1068,372,1098,678,1,2149,3217,
50,Cobb,Kennesaw 1A,2499,186,399,223,8,816,226,364,207,8,805,1621,
51,Cobb,Kennesaw 2A,3944,200,576,483,2,1261,316,716,386,3,1421,2682,
52,Cobb,Kennesaw 3A,6477,371,1194,918,3,2486,322,921,486,3,1732,4218,
53,Cobb,Kennesaw 4A,3783,187,569,523,1,1280,244,686,437,2,1369,2649,
54,Cobb,Kennesaw 5A,5855,332,1068,824,1,2225,533,1109,527,0,2169,4394,
55,Cobb,Kell 01,2006,138,197,299,2,636,304,336,262,0,902,1538,
56,Cobb,Kemp 01,1960,66,192,215,0,473,253,510,334,0,1097,1570,
57,Cobb,Kemp 02,4049,146,541,509,1,1197,394,887,670,6,1957,3154,
58,Cobb,Kemp 03,3955,103,404,372,0,879,519,1177,614,2,2312,3191,
59,Cobb,Lassiter 01,3647,117,436,555,2,1110,454,755,630,0,1839,2949,
60,Cobb,Lindley 01,4797,257,1328,1069,0,2654,213,457,384,0,1054,3708,
61,Cobb,Lost Mountain 01,3604,95,520,488,0,1103,204,1096,552,1,1853,2956,
62,Cobb,Lost Mountain 02,4121,99,517,388,0,1004,367,1437,684,0,2488,3492,
63,Cobb,Lost Mountain 03,5387,123,771,586,0,1480,287,1737,796,2,2822,4302,
64,Cobb,Lost Mountain 04,2629,67,318,303,0,688,250,777,384,0,1411,2099,
65,Cobb,Mableton 01,5127,266,1068,937,0,2271,149,573,502,4,1228,3499,
66,Cobb,Mableton 02,3330,243,569,505,0,1317,142,258,212,0,612,1929,
67,Cobb,Mableton 03,3010,167,510,462,3,1142,202,420,367,0,989,2131,
68,Cobb,Mableton 04,1581,66,254,289,0,609,142,257,246,0,645,1254,
69,Cobb,Mabry 01,1656,58,172,207,1,438,244,380,301,4,929,1367,
70,Cobb,Macland 01,4213,260,1013,733,2,2008,159,467,279,0,905,2913,
71,Cobb,Murdock 01,4059,146,455,729,0,1330,447,720,804,0,1971,3301,
72,Cobb,McEachern 01,3549,130,760,612,0,1502,166,578,401,1,1146,2648,
73,Cobb,McCleskey 01,1736,81,189,282,1,553,247,354,261,0,862,1415,
74,Cobb,McClure 01,3290,110,360,373,1,844,390,892,440,2,1724,2568,
75,Cobb,Marietta 1A,4468,335,660,503,6,1504,204,374,257,1,836,2340,
76,Cobb,Marietta 2A,2059,97,266,255,0,618,300,398,401,0,1099,1717,
77,Cobb,Marietta 2B,4447,311,792,586,0,1689,276,577,508,3,1364,3053,
78,Cobb,Marietta 3A,4388,198,622,628,2,1450,342,735,637,1,1715,3165,
79,Cobb,Marietta 3B,2218,170,464,401,1,1036,54,132,118,0,304,1340,
80,Cobb,Marietta 4A,1956,67,144,189,1,401,429,408,424,0,1261,1662,
81,Cobb,Marietta 4B,2056,90,297,299,1,687,209,315,298,0,822,1509,
82,Cobb,Marietta 4C,2781,82,321,387,0,790,304,706,454,0,1464,2254,
83,Cobb,Marietta 5A,3324,259,534,496,3,1292,194,301,253,0,748,2040,
84,Cobb,Marietta 5B,3084,261,502,378,2,1143,150,182,150,1,483,1626,
85,Cobb,Marietta 6A,2647,252,507,340,3,1102,118,191,124,2,435,1537,
86,Cobb,Marietta 6B,2910,143,461,525,0,1129,256,469,400,0,1125,2254,
87,Cobb,Marietta 7A,3745,257,722,399,4,1382,123,185,124,0,432,1814,
88,Cobb,Mars Hill 01,3633,110,298,295,0,703,422,1098,488,2,2010,2713,
