index,County,Precinct,Registered Voters,Monique Sheffield (Dem)_Election Day Votes,Monique Sheffield (Dem)_Advanced Voting Votes,Monique Sheffield (Dem)_Absentee by Mail Votes,Monique Sheffield (Dem)_Provisional Votes,Monique Sheffield (Dem)_Choice Total,Total,
0,Cobb,Austell 1A,5329,461,1390,1035,9,2895,2895,
1,Cobb,Birney 01,2727,280,556,539,10,1385,1385,
2,Cobb,Birney 02,3894,284,1033,966,5,2288,2288,
3,Cobb,Bryant 01,2142,199,722,479,3,1403,1403,
4,Cobb,Bryant 02,6209,568,1522,821,4,2915,2915,
5,Cobb,Clarkdale 01,1937,174,406,352,2,934,934,
6,Cobb,Clarkdale 02,5372,566,1476,954,4,3000,3000,
7,Cobb,Cooper 01,5252,486,1369,1006,3,2864,2864,
8,Cobb,Dobbins 02,3984,39,95,54,0,188,188,
9,Cobb,Fair Oaks 02,5779,614,1217,1067,5,2903,2903,
10,Cobb,Fair Oaks 04,5322,489,590,576,2,1657,1657,
11,Cobb,Harmony-Leland 01,6394,433,2098,1534,4,4069,4069,
12,Cobb,Lindley 01,4797,362,1567,1268,0,3197,3197,
13,Cobb,Mableton 01,5127,348,1365,1181,0,2894,2894,
14,Cobb,Mableton 02,3330,317,690,592,0,1599,1599,
15,Cobb,Mableton 03,3010,272,677,604,3,1556,1556,
16,Cobb,Mableton 04,1581,133,378,389,0,900,900,
17,Cobb,Macland 01,4213,341,1239,885,2,2467,2467,
18,Cobb,McEachern 01,3549,225,998,772,1,1996,1996,
19,Cobb,Norton Park 01,4922,496,949,947,3,2395,2395,
20,Cobb,Oregon 02,5671,521,1450,1248,1,3220,3220,
21,Cobb,Oregon 04,4673,422,1147,1068,4,2641,2641,
22,Cobb,Pebblebrook 01,5218,483,1441,997,4,2925,2925,
23,Cobb,Powders Springs 1A,4755,275,1507,1131,3,2916,2916,
24,Cobb,Powders Springs 2A,3536,267,1038,674,3,1982,1982,
25,Cobb,Powders Springs 3A,3991,312,1257,693,1,2263,2263,
26,Cobb,Riverside 01,2133,233,486,316,1,1036,1036,
27,Cobb,Smyrna 2A,5539,196,586,476,0,1258,1258,
28,Cobb,Smyrna 3A,4573,364,1235,995,2,2596,2596,
29,Cobb,Smyrna 3B,2496,46,125,122,2,295,295,
30,Cobb,Smyrna 4A,5842,30,137,180,0,347,347,
31,Cobb,Smyrna 5A,4319,471,997,888,7,2363,2363,
32,Cobb,Smyrna 7A,6378,85,637,467,0,1189,1189,
33,Cobb,Sweetwater 01,3235,289,870,576,1,1736,1736,
34,Cobb,Sweetwater 02,3367,311,676,659,17,1663,1663,
