index,County,Precinct,Registered Voters,Carla Jackson (I) (Rep)_Election Day Votes,Carla Jackson (I) (Rep)_Advanced Voting Votes,Carla Jackson (I) (Rep)_Absentee by Mail Votes,Carla Jackson (I) (Rep)_Provisional Votes,Carla Jackson (I) (Rep)_Choice Total,Total,
0,Cobb,Acworth 1A,5458,408,1583,1069,3,3063,3063,
1,Cobb,Acworth 1B,5214,585,1415,892,2,2894,2894,
2,Cobb,Acworth 1C,5110,409,1328,792,5,2534,2534,
3,Cobb,Addison 01,2444,330,564,636,0,1530,1530,
4,Cobb,Austell 1A,5329,399,961,702,9,2071,2071,
5,Cobb,Bells Ferry 02,3127,425,767,615,1,1808,1808,
6,Cobb,Bells Ferry 03,2436,413,508,377,3,1301,1301,
7,Cobb,Bells Ferry 04,3646,602,902,671,3,2178,2178,
8,Cobb,Big Shanty 01,2385,334,567,437,6,1344,1344,
9,Cobb,Big Shanty 02,3236,424,866,646,3,1939,1939,
10,Cobb,Baker 01,4773,544,1291,667,5,2507,2507,
11,Cobb,Birney 01,2727,278,508,510,10,1306,1306,
12,Cobb,Birney 02,3894,317,939,823,2,2081,2081,
13,Cobb,Bryant 01,2142,142,419,246,1,808,808,
14,Cobb,Bryant 02,6209,356,930,484,1,1771,1771,
15,Cobb,Blackwell 01,2698,351,660,567,3,1581,1581,
16,Cobb,Chattahoochee 01,5969,542,1382,817,6,2747,2747,
17,Cobb,Cheatham Hill 02,3085,409,937,728,0,2074,2074,
18,Cobb,Cheatham Hill 03,4029,416,1233,901,1,2551,2551,
19,Cobb,Chalker 01,6065,680,1387,854,2,2923,2923,
20,Cobb,Clarkdale 01,1937,191,384,310,2,887,887,
21,Cobb,Clarkdale 02,5372,551,1151,740,1,2443,2443,
22,Cobb,Cooper 01,5252,374,978,726,1,2079,2079,
23,Cobb,Chestnut Ridge 01,3162,420,825,897,0,2142,2142,
24,Cobb,Dickerson 01,2828,338,782,782,3,1905,1905,
25,Cobb,Dobbins 01,3024,268,415,311,9,1003,1003,
26,Cobb,Dobbins 02,3984,437,838,459,2,1736,1736,
27,Cobb,Dowell 01,3197,361,894,643,3,1901,1901,
28,Cobb,Dodgen 01,2100,322,549,549,3,1423,1423,
29,Cobb,Durham 01,4256,462,1656,891,1,3010,3010,
30,Cobb,Davis 01,2093,431,509,425,0,1365,1365,
31,Cobb,Eastside 01,3040,404,753,887,4,2048,2048,
32,Cobb,Eastside 02,4074,402,1001,1224,2,2629,2629,
33,Cobb,Elizabeth 01,4065,454,846,493,4,1797,1797,
34,Cobb,Elizabeth 02,2434,339,566,604,4,1513,1513,
35,Cobb,Elizabeth 03,2767,385,670,775,1,1831,1831,
36,Cobb,Elizabeth 04,3011,427,531,539,1,1498,1498,
37,Cobb,Elizabeth 05,2884,430,691,654,0,1775,1775,
