index,County,Precinct,Registered Voters,Horacena Tate (I) (Dem)_Election Day Votes,Horacena Tate (I) (Dem)_Advanced Voting Votes,Horacena Tate (I) (Dem)_Absentee by Mail Votes,Horacena Tate (I) (Dem)_Provisional Votes,Horacena Tate (I) (Dem)_Choice Total,Total,
0,Cobb,Birney 02,3894,278,1022,962,1,2263,2263,
1,Cobb,Bryant 01,2142,202,724,467,3,1396,1396,
2,Cobb,Bryant 02,6209,557,1503,795,4,2859,2859,
3,Cobb,Harmony-Leland 01,6394,429,2077,1511,3,4020,4020,
4,Cobb,Lindley 01,4797,354,1566,1256,1,3177,3177,
5,Cobb,Mableton 02,3330,105,252,210,0,567,567,
6,Cobb,Mableton 03,3010,273,678,596,3,1550,1550,
7,Cobb,Mableton 04,1581,139,375,394,0,908,908,
8,Cobb,Nickajack 01,4889,0,3,3,0,6,6,
9,Cobb,Norton Park 01,4922,493,935,959,0,2387,2387,
10,Cobb,Oakdale 01,3944,51,177,128,0,356,356,
11,Cobb,Pebblebrook 01,5218,477,1421,980,2,2880,2880,
12,Cobb,Riverside 01,2133,231,488,307,1,1027,1027,
13,Cobb,Smyrna 3B,2496,12,65,65,0,142,142,
14,Cobb,Smyrna 4A,5842,247,916,1116,1,2280,2280,
15,Cobb,Smyrna 6A,5936,56,148,90,1,295,295,
16,Cobb,Smyrna 7A,6378,338,2030,1880,0,4248,4248,
