index,County,Precinct,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total,
0,Berrien,West Berrien,999,338,280,95,1,714,714,
1,Berrien,Ray City,1946,380,621,164,1,1166,1166,
2,Berrien,Nashville,6079,623,2600,520,2,3745,3745,
3,Berrien,Enigma,1111,339,248,78,4,669,669,
4,Berrien,Alapaha,1140,332,300,86,1,719,719,
