index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Berrien,West Berrien,999,322,265,87,1,675,19,28,20,0,67,10,7,1,0,18,760,
1,Berrien,Ray City,1946,332,594,132,1,1059,61,61,57,0,179,14,15,5,0,34,1272,
2,Berrien,Nashville,6079,545,2413,406,2,3366,102,297,171,0,570,18,58,12,0,88,4024,
3,Berrien,Enigma,1111,305,232,71,4,612,33,20,23,0,76,9,5,2,0,16,704,
4,Berrien,Alapaha,1140,292,257,67,1,617,70,65,39,0,174,4,12,1,0,17,808,
