index,County,Precinct,Registered Voters,"Robert S. Lovein, Jr. (I) (Rep)_Election Day Votes","Robert S. Lovein, Jr. (I) (Rep)_Advanced Voting Votes","Robert S. Lovein, Jr. (I) (Rep)_Absentee by Mail Votes","Robert S. Lovein, Jr. (I) (Rep)_Provisional Votes","Robert S. Lovein, Jr. (I) (Rep)_Choice Total",Total,
0,Berrien,West Berrien,999,341,283,102,1,727,727,
1,Berrien,Ray City,1946,383,635,167,1,1186,1186,
2,Berrien,Nashville,6079,636,2649,530,2,3817,3817,
3,Berrien,Enigma,1111,343,249,80,4,676,676,
4,Berrien,Alapaha,1140,329,304,88,1,722,722,
