index,County,Precinct,Registered Voters,Michelle Watson Davis (I) (Rep)_Election Day Votes,Michelle Watson Davis (I) (Rep)_Advanced Voting Votes,Michelle Watson Davis (I) (Rep)_Absentee by Mail Votes,Michelle Watson Davis (I) (Rep)_Provisional Votes,Michelle Watson Davis (I) (Rep)_Choice Total,Total,
0,Berrien,West Berrien,999,188,185,52,0,425,425,
1,Berrien,Nashville,6079,91,429,88,0,608,608,
