index,County,Precinct,Registered Voters,Jason Nugent (I) (Rep)_Election Day Votes,Jason Nugent (I) (Rep)_Advanced Voting Votes,Jason Nugent (I) (Rep)_Absentee by Mail Votes,Jason Nugent (I) (Rep)_Provisional Votes,Jason Nugent (I) (Rep)_Choice Total,Total,
0,Berrien,West Berrien,999,342,284,99,1,726,726,
1,Berrien,Ray City,1946,386,636,167,1,1190,1190,
2,Berrien,Nashville,6079,631,2653,518,2,3804,3804,
3,Berrien,Enigma,1111,348,252,82,3,685,685,
4,Berrien,Alapaha,1140,345,316,91,1,753,753,
