index,County,Precinct,Registered Voters,Kylon J. Fort (I) (Rep)_Election Day Votes,Kylon J. Fort (I) (Rep)_Advanced Voting Votes,Kylon J. Fort (I) (Rep)_Absentee by Mail Votes,Kylon J. Fort (I) (Rep)_Provisional Votes,Kylon J. Fort (I) (Rep)_Choice Total,Total,
0,Berrien,Ray City,1946,26,95,15,1,137,137,
1,Berrien,Nashville,6079,157,694,139,1,991,991,
