index,County,Precinct,Registered Voters,Penny Houston (I) (Rep)_Election Day Votes,Penny Houston (I) (Rep)_Advanced Voting Votes,Penny Houston (I) (Rep)_Absentee by Mail Votes,Penny Houston (I) (Rep)_Provisional Votes,Penny Houston (I) (Rep)_Choice Total,Andre Oliver (Dem)_Election Day Votes,Andre Oliver (Dem)_Advanced Voting Votes,Andre Oliver (Dem)_Absentee by Mail Votes,Andre Oliver (Dem)_Provisional Votes,Andre Oliver (Dem)_Choice Total,Total,
0,Berrien,West Berrien,999,325,273,89,1,688,24,29,19,0,72,760,
1,Berrien,Ray City,1946,344,604,136,1,1085,62,64,56,0,182,1267,
2,Berrien,Nashville,6079,584,2493,459,2,3538,83,278,141,0,502,4040,
3,Berrien,Enigma,1111,321,236,74,4,635,35,24,20,0,79,714,
4,Berrien,Alapaha,1140,304,276,76,1,657,66,61,28,0,155,812,
