index,County,Precinct,Registered Voters,Henry Ford (I) (Rep)_Election Day Votes,Henry Ford (I) (Rep)_Advanced Voting Votes,Henry Ford (I) (Rep)_Absentee by Mail Votes,Henry Ford (I) (Rep)_Provisional Votes,Henry Ford (I) (Rep)_Choice Total,Total,
0,Berrien,Ray City,1946,24,52,11,0,87,87,
1,Berrien,Nashville,6079,188,760,103,0,1051,1051,
