index,County,Precinct,Registered Voters,John Nugent (I) (Rep)_Election Day Votes,John Nugent (I) (Rep)_Advanced Voting Votes,John Nugent (I) (Rep)_Absentee by Mail Votes,John Nugent (I) (Rep)_Provisional Votes,John Nugent (I) (Rep)_Choice Total,Total,
0,Berrien,West Berrien,999,335,281,99,1,716,716,
1,Berrien,Ray City,1946,378,627,166,1,1172,1172,
2,Berrien,Nashville,6079,625,2628,500,2,3755,3755,
3,Berrien,Enigma,1111,341,246,75,5,667,667,
4,Berrien,Alapaha,1140,335,301,87,1,724,724,
