index,County,Precinct,Registered Voters,"Vance Smith, Jr. (I) (Rep)_Election Day Votes","Vance Smith, Jr. (I) (Rep)_Advanced Voting Votes","Vance Smith, Jr. (I) (Rep)_Absentee by Mail Votes","Vance Smith, Jr. (I) (Rep)_Provisional Votes","Vance Smith, Jr. (I) (Rep)_Choice Total",Total,
0,Muscogee,St Mark/Heiferhorn,6492,668,2513,924,8,4113,4113,
1,Muscogee,Wynnbrook,2692,288,990,563,1,1842,1842,
