index,County,Precinct,Registered Voters,Steven Smith (I) (Dem)_Election Day Votes,Steven Smith (I) (Dem)_Advanced Voting Votes,Steven Smith (I) (Dem)_Absentee by Mail Votes,Steven Smith (I) (Dem)_Provisional Votes,Steven Smith (I) (Dem)_Choice Total,Total,
0,Muscogee,Wynnton/Britt,5289,410,1361,829,0,2600,2600,
1,Muscogee,Carver/Mack,4374,268,1155,829,0,2252,2252,
2,Muscogee,St John/Belvedere,5341,297,1742,1157,2,3198,3198,
3,Muscogee,Britt David,2747,334,691,331,0,1356,1356,
4,Muscogee,St Peter,3265,362,879,458,1,1700,1700,
5,Muscogee,Cornerstone,6684,632,1855,880,1,3368,3368,
6,Muscogee,Columbus Tech,4464,391,808,421,0,1620,1620,
7,Muscogee,St Mark/Heiferhorn,6492,504,2101,987,9,3601,3601,
8,Muscogee,Wynnbrook,2692,221,831,531,0,1583,1583,
9,Muscogee,Cusseta Rd,6169,555,1230,850,3,2638,2638,
10,Muscogee,Our Lady of Lourdes,10204,726,1837,1367,3,3933,3933,
11,Muscogee,Mt Pilgrim,6022,462,1904,1169,1,3536,3536,
12,Muscogee,Faith Tabernacle,4461,375,1439,855,0,2669,2669,
13,Muscogee,Canaan,7078,486,1937,1180,0,3603,3603,
14,Muscogee,Holsey/Buena Vista,7613,508,2357,1305,0,4170,4170,
15,Muscogee,Gentian/Reese,5612,499,1510,806,0,2815,2815,
16,Muscogee,St Paul/Clubview,5677,464,1769,875,0,3108,3108,
17,Muscogee,Moon/Morningside,5415,538,1426,778,1,2743,2743,
18,Muscogee,St Andrews/Midland,7959,747,2354,1262,0,4363,4363,
19,Muscogee,Salvation Army,3192,327,893,446,0,1666,1666,
20,Muscogee,First African,1955,133,353,272,4,762,762,
21,Muscogee,Epworth UMC,4512,420,919,525,0,1864,1864,
22,Muscogee,Marianna Gallops,3095,253,594,364,5,1216,1216,
23,Muscogee,Edgewood Baptist,3235,272,934,499,3,1708,1708,
24,Muscogee,Psalmond/Mathews,7331,469,2548,1285,1,4303,4303,
