index,County,Precinct,Registered Voters,Debbie G. Buckner (I) (Dem)_Election Day Votes,Debbie G. Buckner (I) (Dem)_Advanced Voting Votes,Debbie G. Buckner (I) (Dem)_Absentee by Mail Votes,Debbie G. Buckner (I) (Dem)_Provisional Votes,Debbie G. Buckner (I) (Dem)_Choice Total,Total,
0,Muscogee,Faith Tabernacle,4461,374,1431,878,0,2683,2683,
1,Muscogee,Canaan,7078,206,962,697,0,1865,1865,
2,Muscogee,Holsey/Buena Vista,7613,409,1947,1101,0,3457,3457,
3,Muscogee,Psalmond/Mathews,7331,440,2480,1302,1,4223,4223,
