index,County,Precinct,Registered Voters,Danielle F. Forte (I) (Dem)_Election Day Votes,Danielle F. Forte (I) (Dem)_Advanced Voting Votes,Danielle F. Forte (I) (Dem)_Absentee by Mail Votes,Danielle F. Forte (I) (Dem)_Provisional Votes,Danielle F. Forte (I) (Dem)_Choice Total,Total,
0,Muscogee,Wynnton/Britt,5289,402,1354,833,0,2589,2589,
1,Muscogee,Carver/Mack,4374,267,1153,833,0,2253,2253,
2,Muscogee,St John/Belvedere,5341,297,1748,1158,2,3205,3205,
3,Muscogee,Britt David,2747,331,676,323,0,1330,1330,
4,Muscogee,St Peter,3265,366,854,445,1,1666,1666,
5,Muscogee,Cornerstone,6684,629,1803,863,1,3296,3296,
6,Muscogee,Columbus Tech,4464,383,793,421,0,1597,1597,
7,Muscogee,St Mark/Heiferhorn,6492,492,2027,971,9,3499,3499,
8,Muscogee,Wynnbrook,2692,210,790,514,0,1514,1514,
9,Muscogee,Cusseta Rd,6169,551,1231,848,3,2633,2633,
10,Muscogee,Our Lady of Lourdes,10204,724,1833,1368,3,3928,3928,
11,Muscogee,Mt Pilgrim,6022,465,1905,1165,1,3536,3536,
12,Muscogee,Faith Tabernacle,4461,376,1440,856,0,2672,2672,
13,Muscogee,Canaan,7078,491,1942,1174,0,3607,3607,
14,Muscogee,Holsey/Buena Vista,7613,505,2353,1313,0,4171,4171,
15,Muscogee,Gentian/Reese,5612,494,1473,795,0,2762,2762,
16,Muscogee,St Paul/Clubview,5677,454,1727,845,0,3026,3026,
17,Muscogee,Moon/Morningside,5415,534,1392,762,1,2689,2689,
18,Muscogee,St Andrews/Midland,7959,732,2314,1267,0,4313,4313,
19,Muscogee,Salvation Army,3192,319,889,444,0,1652,1652,
20,Muscogee,First African,1955,133,354,272,4,763,763,
21,Muscogee,Epworth UMC,4512,415,904,516,0,1835,1835,
22,Muscogee,Marianna Gallops,3095,252,594,362,5,1213,1213,
23,Muscogee,Edgewood Baptist,3235,273,922,492,3,1690,1690,
24,Muscogee,Psalmond/Mathews,7331,465,2517,1275,1,4258,4258,
