index,County,Precinct,Registered Voters,Calvin Smyre (I) (Dem)_Election Day Votes,Calvin Smyre (I) (Dem)_Advanced Voting Votes,Calvin Smyre (I) (Dem)_Absentee by Mail Votes,Calvin Smyre (I) (Dem)_Provisional Votes,Calvin Smyre (I) (Dem)_Choice Total,Total,
0,Muscogee,Wynnton/Britt,5289,398,1332,854,0,2584,2584,
1,Muscogee,Carver/Mack,4374,263,1163,851,0,2277,2277,
2,Muscogee,Columbus Tech,4464,371,767,425,0,1563,1563,
3,Muscogee,Cusseta Rd,6169,307,505,368,3,1183,1183,
4,Muscogee,Our Lady of Lourdes,10204,380,814,615,3,1812,1812,
5,Muscogee,First African,1955,133,348,284,4,769,769,
6,Muscogee,Epworth UMC,4512,194,494,333,0,1021,1021,
7,Muscogee,Marianna Gallops,3095,247,579,367,5,1198,1198,
