index,County,Precinct,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,
0,Muscogee,Wynnton/Britt,5289,390,1258,797,0,2445,2445,
1,Muscogee,Carver/Mack,4374,264,1150,831,0,2245,2245,
2,Muscogee,St John/Belvedere,5341,295,1731,1165,2,3193,3193,
3,Muscogee,Britt David,2747,303,648,315,0,1266,1266,
4,Muscogee,St Peter,3265,325,778,431,1,1535,1535,
5,Muscogee,Cornerstone,6684,586,1699,835,0,3120,3120,
6,Muscogee,Columbus Tech,4464,388,763,409,0,1560,1560,
7,Muscogee,St Mark/Heiferhorn,6492,439,1787,886,8,3120,3120,
8,Muscogee,Wynnbrook,2692,178,662,440,0,1280,1280,
9,Muscogee,Cusseta Rd,6169,549,1232,870,3,2654,2654,
10,Muscogee,Our Lady of Lourdes,10204,721,1802,1380,3,3906,3906,
11,Muscogee,Mt Pilgrim,6022,451,1883,1174,0,3508,3508,
12,Muscogee,Faith Tabernacle,4461,371,1420,862,0,2653,2653,
13,Muscogee,Canaan,7078,481,1912,1170,0,3563,3563,
14,Muscogee,Holsey/Buena Vista,7613,500,2324,1314,0,4138,4138,
15,Muscogee,Gentian/Reese,5612,477,1415,742,0,2634,2634,
16,Muscogee,St Paul/Clubview,5677,403,1455,727,0,2585,2585,
17,Muscogee,Moon/Morningside,5415,502,1299,725,1,2527,2527,
18,Muscogee,St Andrews/Midland,7959,697,2180,1194,0,4071,4071,
19,Muscogee,Salvation Army,3192,299,849,430,0,1578,1578,
20,Muscogee,First African,1955,123,314,265,4,706,706,
21,Muscogee,Epworth UMC,4512,382,848,491,0,1721,1721,
22,Muscogee,Marianna Gallops,3095,243,567,351,5,1166,1166,
23,Muscogee,Edgewood Baptist,3235,263,903,481,3,1650,1650,
24,Muscogee,Psalmond/Mathews,7331,420,2319,1193,1,3933,3933,
