index,County,Precinct,Registered Voters,Richard H. Smith (I) (Rep)_Election Day Votes,Richard H. Smith (I) (Rep)_Advanced Voting Votes,Richard H. Smith (I) (Rep)_Absentee by Mail Votes,Richard H. Smith (I) (Rep)_Provisional Votes,Richard H. Smith (I) (Rep)_Choice Total,Carl Sprayberry (Dem)_Election Day Votes,Carl Sprayberry (Dem)_Advanced Voting Votes,Carl Sprayberry (Dem)_Absentee by Mail Votes,Carl Sprayberry (Dem)_Provisional Votes,Carl Sprayberry (Dem)_Choice Total,Total,
0,Muscogee,Britt David,2747,307,559,194,0,1060,126,351,210,0,687,1747,
1,Muscogee,St Peter,3265,365,756,304,3,1428,139,382,293,0,814,2242,
2,Muscogee,Cornerstone,6684,682,1562,554,0,2798,222,878,565,1,1666,4464,
3,Muscogee,Gentian/Reese,5612,194,434,178,0,806,134,412,221,0,767,1573,
4,Muscogee,St Paul/Clubview,5677,401,1485,554,0,2440,214,786,532,0,1532,3972,
5,Muscogee,Moon/Morningside,5415,489,1214,512,1,2216,213,662,467,0,1342,3558,
6,Muscogee,St Andrews/Midland,7959,421,1099,444,0,1964,139,616,464,0,1219,3183,
7,Muscogee,Epworth UMC,4512,186,390,168,0,744,88,197,109,0,394,1138,
