index,County,Precinct,Registered Voters,Randy Robertson (I) (Rep)_Election Day Votes,Randy Robertson (I) (Rep)_Advanced Voting Votes,Randy Robertson (I) (Rep)_Absentee by Mail Votes,Randy Robertson (I) (Rep)_Provisional Votes,Randy Robertson (I) (Rep)_Choice Total,Total,
0,Muscogee,Britt David,2747,389,730,277,0,1396,1396,
1,Muscogee,St Peter,3265,448,932,404,2,1786,1786,
2,Muscogee,Cornerstone,6684,796,2042,812,0,3650,3650,
3,Muscogee,Columbus Tech,4464,260,583,224,0,1067,1067,
4,Muscogee,St Mark/Heiferhorn,6492,657,2480,909,9,4055,4055,
5,Muscogee,Wynnbrook,2692,281,967,554,1,1803,1803,
6,Muscogee,Gentian/Reese,5612,575,1437,629,0,2641,2641,
7,Muscogee,St Paul/Clubview,5677,103,345,128,0,576,576,
8,Muscogee,Moon/Morningside,5415,618,1569,700,1,2888,2888,
9,Muscogee,St Andrews/Midland,7959,871,2433,1104,0,4408,4408,
10,Muscogee,Salvation Army,3192,356,907,362,0,1625,1625,
11,Muscogee,Epworth UMC,4512,235,480,208,0,923,923,
12,Muscogee,Psalmond/Mathews,7331,545,2603,1026,0,4174,4174,
