index,County,Precinct,Registered Voters,Carolyn Hugley (I) (Dem)_Election Day Votes,Carolyn Hugley (I) (Dem)_Advanced Voting Votes,Carolyn Hugley (I) (Dem)_Absentee by Mail Votes,Carolyn Hugley (I) (Dem)_Provisional Votes,Carolyn Hugley (I) (Dem)_Choice Total,Total,
0,Muscogee,St John/Belvedere,5341,298,1747,1166,2,3213,3213,
1,Muscogee,Cusseta Rd,6169,244,733,513,0,1490,1490,
2,Muscogee,Our Lady of Lourdes,10204,331,993,784,2,2110,2110,
3,Muscogee,Mt Pilgrim,6022,462,1909,1187,1,3559,3559,
4,Muscogee,Canaan,7078,275,963,495,0,1733,1733,
5,Muscogee,Holsey/Buena Vista,7613,94,401,228,0,723,723,
6,Muscogee,Gentian/Reese,5612,240,788,464,0,1492,1492,
7,Muscogee,St Andrews/Midland,7959,316,1009,563,0,1888,1888,
8,Muscogee,Salvation Army,3192,309,876,445,0,1630,1630,
9,Muscogee,Edgewood Baptist,3235,261,909,498,3,1671,1671,
