index,County,Precinct,Registered Voters,Joey Terrell (I) (Rep)_Election Day Votes,Joey Terrell (I) (Rep)_Advanced Voting Votes,Joey Terrell (I) (Rep)_Absentee by Mail Votes,Joey Terrell (I) (Rep)_Provisional Votes,Joey Terrell (I) (Rep)_Choice Total,Total,
0,Habersham,Habersham North,9096,675,4232,1149,5,6061,6061,
1,Habersham,Habersham South,6171,582,2305,697,6,3590,3590,
2,Habersham,Demorest,4963,508,2123,584,2,3217,3217,
3,Habersham,Town of Mt Airy,790,108,254,70,2,434,434,
4,Habersham,City of Baldwin,1252,170,339,114,0,623,623,
5,Habersham,Mud Creek,4435,514,1701,515,2,2732,2732,
6,Habersham,Amys Creek,1557,275,581,201,0,1057,1057,
