index,County,Precinct,Registered Voters,George R. Christian (I) (Rep)_Election Day Votes,George R. Christian (I) (Rep)_Advanced Voting Votes,George R. Christian (I) (Rep)_Absentee by Mail Votes,George R. Christian (I) (Rep)_Provisional Votes,George R. Christian (I) (Rep)_Choice Total,Total,
0,Habersham,Habersham North,9096,693,4277,1132,5,6107,6107,
1,Habersham,Habersham South,6171,596,2335,676,6,3613,3613,
2,Habersham,Demorest,4963,522,2143,570,2,3237,3237,
3,Habersham,Town of Mt Airy,790,112,263,77,1,453,453,
4,Habersham,City of Baldwin,1252,175,339,112,0,626,626,
5,Habersham,Mud Creek,4435,527,1714,506,2,2749,2749,
6,Habersham,Amys Creek,1557,274,585,197,0,1056,1056,
