index,County,Precinct,Registered Voters,Bo Hatchett (Rep)_Election Day Votes,Bo Hatchett (Rep)_Advanced Voting Votes,Bo Hatchett (Rep)_Absentee by Mail Votes,Bo Hatchett (Rep)_Provisional Votes,Bo Hatchett (Rep)_Choice Total,Dee Daley (Dem)_Election Day Votes,Dee Daley (Dem)_Advanced Voting Votes,Dee Daley (Dem)_Absentee by Mail Votes,Dee Daley (Dem)_Provisional Votes,Dee Daley (Dem)_Choice Total,Total,
0,Habersham,Habersham North,9096,657,4192,1041,10,5900,80,513,406,0,999,6899,
1,Habersham,Habersham South,6171,536,2201,631,4,3372,125,341,251,1,718,4090,
2,Habersham,Demorest,4963,490,2107,549,1,3147,66,222,149,1,438,3585,
3,Habersham,Town of Mt Airy,790,102,245,67,2,416,19,49,29,0,97,513,
4,Habersham,City of Baldwin,1252,149,310,87,0,546,37,66,56,0,159,705,
5,Habersham,Mud Creek,4435,478,1651,467,2,2598,82,173,153,0,408,3006,
6,Habersham,Amys Creek,1557,271,568,180,0,1019,29,91,100,0,220,1239,
