index,County,Precinct,Registered Voters,"Gerald """"Jerry"""" Johnson (I) (Rep)_Election Day Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Advanced Voting Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Absentee by Mail Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Provisional Votes","Gerald """"Jerry"""" Johnson (I) (Rep)_Choice Total",Total,
0,Habersham,Habersham North,9096,695,4268,1107,5,6075,6075,
1,Habersham,Habersham South,6171,601,2339,670,6,3616,3616,
2,Habersham,Demorest,4963,524,2151,575,2,3252,3252,
3,Habersham,Town of Mt Airy,790,110,267,71,2,450,450,
4,Habersham,City of Baldwin,1252,174,344,112,0,630,630,
5,Habersham,Mud Creek,4435,527,1715,501,2,2745,2745,
6,Habersham,Amys Creek,1557,278,596,194,0,1068,1068,
