index,County,Precinct,Registered Voters,Bruce Harkness (Rep)_Election Day Votes,Bruce Harkness (Rep)_Advanced Voting Votes,Bruce Harkness (Rep)_Absentee by Mail Votes,Bruce Harkness (Rep)_Provisional Votes,Bruce Harkness (Rep)_Choice Total,Total,
0,Habersham,Habersham North,9096,687,4144,1072,5,5908,5908,
1,Habersham,Habersham South,6171,597,2228,643,6,3474,3474,
2,Habersham,Demorest,4963,504,2069,554,1,3128,3128,
3,Habersham,Town of Mt Airy,790,112,248,71,2,433,433,
4,Habersham,City of Baldwin,1252,172,335,111,0,618,618,
5,Habersham,Mud Creek,4435,520,1668,475,2,2665,2665,
6,Habersham,Amys Creek,1557,277,578,193,0,1048,1048,
