index,County,Precinct,Registered Voters,"William """"Bill"""" Oliver (I) (Rep)_Election Day Votes","William """"Bill"""" Oliver (I) (Rep)_Advanced Voting Votes","William """"Bill"""" Oliver (I) (Rep)_Absentee by Mail Votes","William """"Bill"""" Oliver (I) (Rep)_Provisional Votes","William """"Bill"""" Oliver (I) (Rep)_Choice Total",Total,
0,Habersham,Habersham North,9096,696,4263,1134,5,6098,6098,
1,Habersham,Habersham South,6171,596,2331,677,6,3610,3610,
2,Habersham,Demorest,4963,526,2136,576,2,3240,3240,
3,Habersham,Town of Mt Airy,790,110,265,74,2,451,451,
4,Habersham,City of Baldwin,1252,174,344,113,0,631,631,
5,Habersham,Mud Creek,4435,525,1725,507,2,2759,2759,
6,Habersham,Amys Creek,1557,277,591,198,0,1066,1066,
