County,Karen Handel (Rep)_Election Day Votes,Karen Handel (Rep)_Absentee by Mail Votes,Karen Handel (Rep)_Advanced Voting Votes,Karen Handel (Rep)_Provisional Votes,Karen Handel (Rep)_TOTAL VOTES,Lucy McBath (I) (Dem)_Election Day Votes,Lucy McBath (I) (Dem)_Absentee by Mail Votes,Lucy McBath (I) (Dem)_Advanced Voting Votes,Lucy McBath (I) (Dem)_Provisional Votes,Lucy McBath (I) (Dem)_TOTAL VOTES,Total,
Cobb,14493,19830,24179,38,58540,7329,28567,19626,31,55553,114093,
DeKalb,5797,8146,17930,65,31938,5530,20327,29631,115,55603,87541,
Fulton,11354,19768,58034,477,89633,8413,35999,60468,541,105421,195054,
