County,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_TOTAL VOTES,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_TOTAL VOTES",Total,
DeKalb,4181,5703,8101,66,18051,20542,56818,87684,660,165704,183755,
Gwinnett,4754,6729,13393,23,24899,7510,17536,30086,75,55207,80106,
Newton,5440,3167,5435,10,14052,6001,9276,11374,19,26670,40722,
Rockdale,2380,2867,7124,11,12382,3647,9338,18205,22,31212,43594,
