County,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_TOTAL VOTES,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_TOTAL VOTES,Total,
Clayton,1751,2492,4464,21,8728,10389,18396,33587,247,62619,71347,
Cobb,4767,7971,10750,17,23505,8721,25029,30263,90,64103,87608,
Douglas,4539,5251,14631,11,24432,6010,14038,23061,44,43153,67585,
Fayette,695,1008,2174,0,3877,936,2827,3910,0,7673,11550,
Fulton,788,1191,2549,30,4558,6355,15414,39695,290,61754,66312,
Henry,1980,3321,10603,6,15910,3939,10789,24175,28,38931,54841,
