County,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_TOTAL VOTES",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_TOTAL VOTES,Total,
Bacon,418,491,3000,1,3910,126,172,255,1,554,4464,
Brantley,1903,687,4152,7,6749,143,193,325,1,662,7411,
Bryan,2635,1786,10342,4,14767,796,1903,3433,3,6135,20902,
Camden,3561,2247,9409,3,15220,1188,2635,3889,3,7715,22935,
Charlton,1091,403,1863,2,3359,208,273,505,0,986,4345,
Chatham,19345,13647,23905,96,56993,16965,27065,29634,182,73846,130839,
Clinch,607,219,1233,1,2060,187,131,290,0,608,2668,
Echols,209,120,900,0,1229,31,30,88,0,149,1378,
Effingham,4883,1692,7945,9,14529,1000,1425,2168,4,4597,19126,
Glynn,4768,4683,16717,31,26199,2020,5292,7420,21,14753,40952,
Liberty,1725,1420,5084,0,8229,1645,4095,6901,0,12641,20870,
Long,1131,304,2110,9,3554,353,480,1096,7,1936,5490,
Lowndes,326,153,649,5,1133,119,215,381,6,721,1854,
McIntosh,829,867,2387,1,4084,409,795,1206,0,2410,6494,
Pierce,1186,944,5638,0,7768,119,319,582,0,1020,8788,
Ware,2521,1490,5836,0,9847,543,1552,1957,0,4052,13899,
Wayne,2444,1377,6108,8,9937,453,703,1393,1,2550,12487,
