County,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_TOTAL VOTES,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_TOTAL VOTES,Total,
Carroll,11175,4918,21911,30,38034,2790,4256,7979,13,15038,53072,
Coweta,18650,10126,24179,4,52959,4835,8384,8793,16,22028,74987,
Fayette,5891,7003,21167,0,34061,2271,7405,12305,0,21981,56042,
Harris,5681,2265,6695,14,14655,1112,1851,1921,4,4888,19543,
Heard,1612,690,2141,1,4444,155,271,312,1,739,5183,
Henry,2075,2417,9382,6,13880,2892,6646,13504,10,23052,36932,
Lamar,1744,838,3776,7,6365,460,874,1111,2,2447,8812,
Meriwether,2209,1022,3290,2,6523,1114,1389,1500,4,4007,10530,
Muscogee,3151,3073,8074,10,14308,1124,2994,3965,5,8088,22396,
Pike,2336,944,5832,0,9112,250,489,630,0,1369,10481,
Spalding,5264,3599,8780,539,18182,2447,3973,4319,332,11071,29253,
Troup,4858,3157,10820,49,18884,2523,3150,4785,28,10486,29370,
Upson,1380,1235,6045,4,8664,594,1438,1774,0,3806,12470,
