index,County,Precinct,Registered Voters,Jay Shell (I) (Rep)_Election Day Votes,Jay Shell (I) (Rep)_Advanced Voting Votes,Jay Shell (I) (Rep)_Absentee by Mail Votes,Jay Shell (I) (Rep)_Provisional Votes,Jay Shell (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,373,1120,395,12,1900,1900,
1,Floyd,Armuchee,1269,295,379,119,1,794,794,
2,Floyd,Barkers,2355,410,833,215,10,1468,1468,
3,Floyd,Cave Spring,1617,458,321,166,5,950,950,
4,Floyd,Chulio,1155,293,308,115,19,735,735,
5,Floyd,Etowah,4946,640,1707,528,8,2883,2883,
6,Floyd,Everett Springs,421,187,65,37,2,291,291,
7,Floyd,Floyd Springs,1666,424,561,154,38,1177,1177,
8,Floyd,Fosters Mill,971,288,263,72,0,623,623,
9,Floyd,Garden Lakes,2261,277,696,242,0,1215,1215,
10,Floyd,Glenwood,3635,577,1072,351,1,2001,2001,
11,Floyd,Howell,1492,428,400,132,10,970,970,
12,Floyd,East Lindale,3398,492,1027,350,0,1869,1869,
13,Floyd,North Carolina,1865,283,568,154,4,1009,1009,
14,Floyd,Riverside,826,169,224,55,5,453,453,
15,Floyd,Texas Valley,762,263,206,73,6,548,548,
16,Floyd,Vanns Valley,896,164,195,99,2,460,460,
17,Floyd,Watters,3566,697,1108,326,18,2149,2149,
18,Floyd,West Lindale,2929,530,779,245,0,1554,1554,
