index,County,Precinct,Registered Voters,Danny Waits (Rep)_Election Day Votes,Danny Waits (Rep)_Advanced Voting Votes,Danny Waits (Rep)_Absentee by Mail Votes,Danny Waits (Rep)_Provisional Votes,Danny Waits (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,377,1117,389,10,1893,1893,
1,Floyd,Armuchee,1269,296,379,121,1,797,797,
2,Floyd,Barkers,2355,413,826,214,10,1463,1463,
3,Floyd,Cave Spring,1617,456,325,168,5,954,954,
4,Floyd,Chulio,1155,290,307,114,19,730,730,
5,Floyd,Etowah,4946,641,1706,531,9,2887,2887,
6,Floyd,Everett Springs,421,186,67,37,2,292,292,
7,Floyd,Floyd Springs,1666,418,556,154,39,1167,1167,
8,Floyd,Fosters Mill,971,289,259,75,0,623,623,
9,Floyd,Garden Lakes,2261,277,700,239,0,1216,1216,
10,Floyd,Glenwood,3635,578,1065,346,1,1990,1990,
11,Floyd,Howell,1492,434,396,132,10,972,972,
12,Floyd,East Lindale,3398,493,1028,346,0,1867,1867,
13,Floyd,North Carolina,1865,288,568,156,4,1016,1016,
14,Floyd,Riverside,826,169,221,57,5,452,452,
15,Floyd,Texas Valley,762,262,204,72,8,546,546,
16,Floyd,Vanns Valley,896,162,197,100,1,460,460,
17,Floyd,Watters,3566,701,1108,325,18,2152,2152,
18,Floyd,West Lindale,2929,530,782,245,0,1557,1557,
