index,County,Precinct,Registered Voters,Harold Proctor (I) (Rep)_Election Day Votes,Harold Proctor (I) (Rep)_Advanced Voting Votes,Harold Proctor (I) (Rep)_Absentee by Mail Votes,Harold Proctor (I) (Rep)_Provisional Votes,Harold Proctor (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,386,1145,391,10,1932,1932,
1,Floyd,Armuchee,1269,294,388,125,1,808,808,
2,Floyd,Barkers,2355,420,836,229,10,1495,1495,
3,Floyd,Cave Spring,1617,455,331,178,5,969,969,
4,Floyd,Chulio,1155,300,308,115,19,742,742,
5,Floyd,Etowah,4946,650,1745,545,8,2948,2948,
6,Floyd,Everett Springs,421,188,69,39,2,298,298,
7,Floyd,Floyd Springs,1666,431,564,163,41,1199,1199,
8,Floyd,Fosters Mill,971,295,265,76,0,636,636,
9,Floyd,Garden Lakes,2261,274,706,247,0,1227,1227,
10,Floyd,Glenwood,3635,584,1087,361,1,2033,2033,
11,Floyd,Howell,1492,437,402,138,10,987,987,
12,Floyd,East Lindale,3398,495,1052,358,1,1906,1906,
13,Floyd,Mt Alto North,5096,418,1538,531,4,2491,2491,
14,Floyd,Mt Alto South,3923,448,1105,401,6,1960,1960,
15,Floyd,North Carolina,1865,291,581,157,7,1036,1036,
16,Floyd,Riverside,826,171,226,64,5,466,466,
17,Floyd,East Rome,4238,384,998,428,6,1816,1816,
18,Floyd,North Rome,3369,240,722,475,7,1444,1444,
19,Floyd,South Rome,1600,115,219,135,2,471,471,
20,Floyd,Texas Valley,762,271,207,72,8,558,558,
21,Floyd,Vanns Valley,896,167,196,102,1,466,466,
22,Floyd,Watters,3566,714,1124,330,18,2186,2186,
23,Floyd,West Lindale,2929,531,791,256,0,1578,1578,
24,Floyd,Town Rome,3034,264,739,346,2,1351,1351,
