index,County,Precinct,Registered Voters,Barbara Ann Penson (I) (Rep)_Election Day Votes,Barbara Ann Penson (I) (Rep)_Advanced Voting Votes,Barbara Ann Penson (I) (Rep)_Absentee by Mail Votes,Barbara Ann Penson (I) (Rep)_Provisional Votes,Barbara Ann Penson (I) (Rep)_Choice Total,Moriah Medina (Dem)_Election Day Votes,Moriah Medina (Dem)_Advanced Voting Votes,Moriah Medina (Dem)_Absentee by Mail Votes,Moriah Medina (Dem)_Provisional Votes,Moriah Medina (Dem)_Choice Total,Total,
0,Floyd,Alto Park,3360,319,998,344,10,1671,95,239,180,1,515,2186,
1,Floyd,Armuchee,1269,268,347,113,1,729,36,64,33,0,133,862,
2,Floyd,Barkers,2355,386,752,211,7,1356,44,107,59,2,212,1568,
3,Floyd,Cave Spring,1617,420,304,160,3,887,61,42,72,2,177,1064,
4,Floyd,Chulio,1155,279,289,106,19,693,34,36,44,0,114,807,
5,Floyd,Etowah,4946,570,1524,483,8,2585,102,308,239,2,651,3236,
6,Floyd,Everett Springs,421,173,62,26,3,264,24,8,17,0,49,313,
7,Floyd,Floyd Springs,1666,402,513,152,38,1105,34,68,35,6,143,1248,
8,Floyd,Fosters Mill,971,276,250,74,2,602,20,26,24,0,70,672,
9,Floyd,Garden Lakes,2261,206,576,195,0,977,90,199,110,0,399,1376,
10,Floyd,Glenwood,3635,495,935,297,2,1729,114,221,144,2,481,2210,
11,Floyd,Howell,1492,416,367,128,11,922,28,53,22,0,103,1025,
12,Floyd,East Lindale,3398,430,898,286,0,1614,100,224,143,0,467,2081,
13,Floyd,Mt Alto North,5096,234,1135,355,2,1726,252,641,362,4,1259,2985,
14,Floyd,Mt Alto South,3923,298,835,289,4,1426,231,448,247,3,929,2355,
15,Floyd,North Carolina,1865,264,513,135,5,917,44,104,56,2,206,1123,
16,Floyd,Riverside,826,149,191,50,5,395,38,55,27,0,120,515,
17,Floyd,East Rome,4238,276,711,314,4,1305,165,494,311,2,972,2277,
18,Floyd,North Rome,3369,152,546,348,4,1050,142,311,324,3,780,1830,
19,Floyd,South Rome,1600,55,113,64,2,234,134,183,173,1,491,725,
20,Floyd,Texas Valley,762,259,191,58,14,522,21,27,33,0,81,603,
21,Floyd,Vanns Valley,896,140,168,93,2,403,34,44,15,0,93,496,
22,Floyd,Watters,3566,628,998,292,12,1930,94,152,109,6,361,2291,
23,Floyd,West Lindale,2929,465,692,212,0,1369,91,132,114,0,337,1706,
24,Floyd,Town Rome,3034,187,595,250,0,1032,116,281,218,2,617,1649,
