index,County,Precinct,Registered Voters,Eddie Lumsden (I) (Rep)_Election Day Votes,Eddie Lumsden (I) (Rep)_Advanced Voting Votes,Eddie Lumsden (I) (Rep)_Absentee by Mail Votes,Eddie Lumsden (I) (Rep)_Provisional Votes,Eddie Lumsden (I) (Rep)_Choice Total,Jonathan Gilreath-Harvey (Dem)_Election Day Votes,Jonathan Gilreath-Harvey (Dem)_Advanced Voting Votes,Jonathan Gilreath-Harvey (Dem)_Absentee by Mail Votes,Jonathan Gilreath-Harvey (Dem)_Provisional Votes,Jonathan Gilreath-Harvey (Dem)_Choice Total,Total,
0,Floyd,Armuchee,1269,272,357,117,1,747,33,58,33,0,124,871,
1,Floyd,Cave Spring,1617,422,303,144,5,874,58,45,88,0,191,1065,
2,Floyd,Everett Springs,421,177,65,25,2,269,23,8,19,0,50,319,
3,Floyd,Floyd Springs,1666,415,534,145,44,1138,26,53,38,2,119,1257,
4,Floyd,Fosters Mill,971,276,255,73,2,606,22,25,23,0,70,676,
5,Floyd,Garden Lakes,2261,212,586,192,0,990,84,202,114,0,400,1390,
6,Floyd,Mt Alto North,5096,137,727,198,0,1062,109,322,200,2,633,1695,
7,Floyd,North Carolina,1865,269,528,133,2,932,39,90,59,2,190,1122,
8,Floyd,Texas Valley,762,261,197,65,10,533,16,22,29,0,67,600,
9,Floyd,Watters,3566,648,1030,290,14,1982,82,141,115,6,344,2326,
10,Floyd,Town Rome,3034,11,81,23,0,115,8,17,13,2,40,155,
