index,County,Precinct,Registered Voters,Betty Lynn Johnson (I) (Dem)_Election Day Votes,Betty Lynn Johnson (I) (Dem)_Advanced Voting Votes,Betty Lynn Johnson (I) (Dem)_Absentee by Mail Votes,Betty Lynn Johnson (I) (Dem)_Provisional Votes,Betty Lynn Johnson (I) (Dem)_Choice Total,Total,
0,Ben Hill,East,3956,269,1317,448,1,2035,2035,
1,Ben Hill,West,5898,403,2465,631,0,3499,3499,
