index,County,Precinct,Registered Voters,Barry Foster (I) (Rep)_Election Day Votes,Barry Foster (I) (Rep)_Advanced Voting Votes,Barry Foster (I) (Rep)_Absentee by Mail Votes,Barry Foster (I) (Rep)_Provisional Votes,Barry Foster (I) (Rep)_Choice Total,Total,
0,Ben Hill,East,3956,255,1288,351,1,1895,1895,
1,Ben Hill,West,5898,396,2573,577,0,3546,3546,
