index,County,Precinct,Registered Voters,Mark Shealy (Rep)_Election Day Votes,Mark Shealy (Rep)_Advanced Voting Votes,Mark Shealy (Rep)_Absentee by Mail Votes,Mark Shealy (Rep)_Provisional Votes,Mark Shealy (Rep)_Choice Total,Total,
0,Ben Hill,East,3956,254,1294,340,0,1888,1888,
1,Ben Hill,West,5898,396,2573,565,0,3534,3534,
